,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1182816,Effects of rainwater harvesting and afforestation on soil properties and growth of Emblica officinalis while restoring degraded hills in western India,2012,G Singh and AU Khan and Ashok Kumar and N Bala and U Kumar Tomar,6,African Journal of Environmental Science and Technology,8,300-311,,,True,8D8kgqQAAAAJ:_Qo2XoVZTnwC,22,,8111620324401525112,/scholar?cites=8111620324401525112,,,0,0,0
1182817,Carbon sequestration potential of common access resources in arid and semi-arid regions of northwestern India,2003,G Singh and N Bala and KK Chaudhuri and RL Meena,129,Indian Forester,7,859-864,,,True,8D8kgqQAAAAJ:QIV2ME_5wuYC,21,,18208367107498837190,/scholar?cites=18208367107498837190,,,0,0,0
1182818,Impact of different tree species canopy on diversity and productivity of understorey vegetation in Indian desert,2008,G Singh and TR Rathod and S Mutha and S Upadhyaya and N Bala,49,Tropical Ecology,1,13,,,True,8D8kgqQAAAAJ:hFOr9nPyWt4C,20,,14743836749886703597,/scholar?cites=14743836749886703597,,,0,0,0
1182819,Coordination behaviour of pyridoxalisonicotinoyl hydrazone towards some 3d-metal ions,1992,Gende Singh and PSSJ Shastry and RK Lonibala and TR Rao,22,Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry,7,1041-1059,Taylor & Francis Group,,True,8D8kgqQAAAAJ:UeHWp8X0CEIC,20,,15860926345872281622,/scholar?cites=15860926345872281622,,,0,0,0
1182820,The influence of litter quality and micro-habitat on litter decomposition and soil properties in a silvopasture system,2013,G Tripathi and R Deora and G Singh,50,Acta Oecologica,,40-50,Elsevier Masson,,True,8D8kgqQAAAAJ:blknAaTinKkC,18,,195286880862521231,/scholar?cites=195286880862521231,,,0,0,0
1182821,Use of tree seedlings for the phytoremediation of a municipal effluent used in dry areas of north-western India: Plant growth and nutrient uptake,2010,Genda Singh and Madhulika Bhati and Thanaram Rathod,36,Ecological Engineering,10,1299-1306,Elsevier,,True,8D8kgqQAAAAJ:0EnyYjriUFMC,18,,16677640431140317996,/scholar?cites=16677640431140317996,,,0,0,0
1182822,Effect of adult neighbours on regeneration and performance of surface vegetation for control of sand drift in Indian desert,2003,G Singh and N Bala and TR Rathod and S Chouhan,,Environmental Conservation,,353-363,Cambridge University Press,,True,8D8kgqQAAAAJ:Y0pCki6q_DkC,17,,3228915246098663809,/scholar?cites=3228915246098663809,,,0,0,0
1182823,Enhancing growth and biomass production of plantation and associated vegetation through rainwater harvesting in degraded hills in southern Rajasthan. India,2012,G Singh,43,New Forests,3,349-364,Springer Netherlands,,True,8D8kgqQAAAAJ:qxL8FJ1GzNcC,16,,341497441863643395,/scholar?cites=341497441863643395,,,0,0,0
1182824,Effect of textile industrial effluent on tree plantation and soil chemistry,2001,Genda Singh and N Bala and TR Rathod and Bilas Singh,22,Journal of environmental biology,1,59-66,PRAGATI PRESS-INDIA,,True,8D8kgqQAAAAJ:_FxGoFyzp5QC,16,,7981469557040454688,/scholar?cites=7981469557040454688,,,0,0,0
1182825,Effects of rainwater harvesting on plant growth. soil water dynamics and herbaceous biomass during rehabilitation of degraded hills in Rajasthan. India,2013,G Singh and D Mishra and K Singh and R Parmar,310,Forest ecology and management,,612-622,Elsevier,,True,8D8kgqQAAAAJ:yD5IFk8b50cC,14,,16769487894153781792,/scholar?cites=16769487894153781792,,,0,0,0
1182826,Nanotechnology:'Risk Governance'in India,2012,AP Jayanthi and Koen Beumer and MADHULIKA BHATI and SUJIT BHATTACHARYA,,Economic and Political Weekly,,34-40,Sameeksha Trust,,True,zsv3aXIAAAAJ:u5HHmVD_uO8C,21,,6668130022662807244,/scholar?cites=6668130022662807244,,,0,0,0
1182827,Nanotechnology Development in India: Investigating ten years of India’s efforts in capacity building,2012,S Bhattacharya and AP Jayanthi and S Shilpa,,CSIR-NISTADS Policy Brief I. Delhi: NISTADS.‘Moving Forward Responsibly’: From Agribiotechnology to Agrinanotechnology,,,,,True,zsv3aXIAAAAJ:d1gkVwhDpl0C,6,,12167310027734335789,/scholar?cites=12167310027734335789,,,0,0,0
1182828,Knowledge Creation and Transformation Process in a Frontier Technology: Case Study of Nanotechnology Research in India. Vol 7. advances in Nanotechnology,2011,Sujit Bhattacharya and M Bhati and AP Jayanthi,,,,,Westville Publishing,,True,zsv3aXIAAAAJ:u-x6o8ySG0sC,5,,7621664927209939404,/scholar?cites=7621664927209939404,,,0,0,0
1182829,Photovoltaik–Wie Sonne zu Strom wird,2016,Viktor Wesselak and Sebastian Voswinckel,,,,,Springer-Verlag,,True,gDwqQyMAAAAJ:u5HHmVD_uO8C,57,,9076318713931323942,/scholar?cites=9076318713931323942,,,0,0,0
1182830,Behaviour of amorphous silicon solar modules: A parameter study,2013,S Voswinckel and V Wesselak and B Lustermann,92,Solar energy,,206-213,Pergamon,,True,gDwqQyMAAAAJ:u-x6o8ySG0sC,18,,12254515508383109233,/scholar?cites=12254515508383109233,,,0,0,0
1182831,Investigation of leakage currents depending on the mounting situation in accordance to amorphous silicon modules,2014,S Voswinckel and P Manz and C Schmidt and V Wesselak,57,Energy Procedia,,56-64,Elsevier,,True,gDwqQyMAAAAJ:9yKSN-GCB0IC,8,,5488568827132203177,/scholar?cites=5488568827132203177,,,0,0,0
1182832,The effect of quantum efficiencies on the optimum orientation of photovoltaic modules–A comparison between crystalline and thin film modules,2013,J Haller and S Voswinckel and V Wesselak,88,Solar energy,,97-103,Pergamon,,True,gDwqQyMAAAAJ:d1gkVwhDpl0C,7,,14529947142647150712,/scholar?cites=14529947142647150712,,,0,0,0
1182833,Dos and don’ts of leakage current measurement,2015,S Voswinckel and V Wesselak and E Fokuhl and C Schmidt and K Watzlawik,,"Proceedings of the 31th European Solar Energy Conference and Exhibition, Hamburg, Germany",,14-18,,,True,gDwqQyMAAAAJ:kNdYIx-mwKoC,6,,13196398987655089845,/scholar?cites=13196398987655089845,,,0,0,0
1182834,Leakage Current Pathways and Magnitudes in Correlation to PID of CIGS Thin Film Modules,2014,Pia Manz and Viktor Wesselak and Sebastian Voswinckel and Benno Trautmann and Esther Fokuhl and Christoph Schmidt,,,,,,,True,gDwqQyMAAAAJ:qjMakFHDy7sC,4,,18236827425443805548,/scholar?cites=18236827425443805548,,,0,0,0
1182835,Analysis of Leakage Currents in Accordance of the Mounting Situation of Amorphous Silicon Solar Modules under Outdoor Climate Conditions,2013,Sebastian Voswinckel and Pia Manz and Christoph Schmidt and Viktor Wesselak and Esther Fokuhl and Benno Trautmann,,,,,,,True,gDwqQyMAAAAJ:IjCSPb-OGe4C,4,,4419034216010116717,/scholar?cites=4419034216010116717,,,0,0,0
1182836,Experimental Evidence of PID Effect on CIGS Photovoltaic Modules,2020,Sofiane Boulhidja and Adel Mellit and Sebastian Voswinckel and Vanni Lughi and Alessandro Ciocia and Filippo Spertino and Alessandro Massi Pavan,13,Energies,3,537,Multidisciplinary Digital Publishing Institute,,True,gDwqQyMAAAAJ:3fE2CSJIrl8C,3,,13577381341016340842,/scholar?cites=13577381341016340842,,,0,0,0
1182837,Potential-induced degradation test on CIGS photovoltaic modules,2017,S Boulhidja and A Mellit and S Voswinckel,,,,1-4,IEEE,,True,gDwqQyMAAAAJ:Se3iqnhoufwC,3,,3177574676322840483,/scholar?cites=3177574676322840483,,,0,0,0
1182838,Correlation of Leakage Current Pathways and Potential Induced Degradation of CIGS Thin Film Solar Modules,2017,Sebastian Voswinckel and Viktor Wesselak and Sven Münter and Lukas Gerstenberg,,Proceedings of the ISES Solar World Conference 2017 and the IEA SHC Solar Heating and Cooling Conference for Buildings and Industry,,,,,True,gDwqQyMAAAAJ:hqOjcs7Dif8C,3,,8001261873068126466,/scholar?cites=8001261873068126466,,,0,0,0
1182839,Influence of the active leakage current pathway on the potential induced degradation of CIGS thin film solar modules,2020,S Voswinckel and T Mikolajick and V Wesselak,197,Solar Energy,,455-461,Pergamon,,True,gDwqQyMAAAAJ:MXK_kJrjxJIC,2,,16641680918616105086,/scholar?cites=16641680918616105086,,,0,0,0
1182840,Photovoltaik: Wie Sonne zu Strom wird,2012,Sebastian Voswinckel,,,,,Springer Berlin Heidelberg,,True,gDwqQyMAAAAJ:8k81kl-MbHgC,2,,5463970566078635090,/scholar?cites=5463970566078635090,,,0,0,0
1182841,Lüftung und Brandschutz-Bedarfsgerechte Lüftung von Klassenräumen,2010,S Voswinckel and T Schabbach and M Schönhardt,61,Heizung Luftung Klima Haustechnik,2,51,,,True,gDwqQyMAAAAJ:ufrVoPGSRksC,1,,14318525727703206322,/scholar?cites=14318525727703206322,,,0,0,0
1182842,Potentialinduzierte Degrationsmechanismen von Kupferindiumgalliumdiselenid-Dünnschichtphotovoltaikmodulen,2019,Sebastian Voswinckel,,,,,,,True,gDwqQyMAAAAJ:M3ejUd6NZC8C,0,,,,,,0,0,0
1182843,Lebensdauer und Zuverlässigkeit von Photovoltaikmodulen,2017,Viktor Wesselak and Thomas Schabbach and Thomas Link and Joachim Fischer,3,,,254-274,Springer,,True,gDwqQyMAAAAJ:eQOLeE2rZwMC,0,,,,,,0,0,0
1182844,Photovoltaik in einem zukünftigen Energiesystem,2016,Viktor Wesselak and Sebastian Voswinckel,,,,117-129,Springer. Berlin. Heidelberg,,True,gDwqQyMAAAAJ:roLk4NBRz8UC,0,,,,,,0,0,0
1182845,Technologie und Trends von Solarzellen,2016,Viktor Wesselak and Sebastian Voswinckel,,,,45-62,Springer. Berlin. Heidelberg,,True,gDwqQyMAAAAJ:LkGwnXOMwfcC,0,,,,,,0,0,0
1182846,Charakterisierung von bifacialen Photovoltaikmodulen,2016,Sebastian Voswinckel and Viktor Wesselak and C. Schmidt and S. Münter,,,,,,,True,gDwqQyMAAAAJ:WF5omc3nYNoC,0,,,,,,0,0,0
1182847,Dos and Don'ts of Leakage Current Measurement,2015,K. Watzlawik S. Voswinckel and V. Wesselak and E. Fokuhl and C. Schmidt,,,,2508 - 2512,,,True,gDwqQyMAAAAJ:YsMSGLbcyi4C,0,,,,,,0,0,0
1182848,Systembedingte Degradationsmechanismen von Dünnschichtphotovoltaikmodulen,2014,Sebastian Voswinckel and Viktor Wesselak and Pia Manz and Esther Fokuhl and Benno Trautmann and Christoph Schmidt,,,,,,,True,gDwqQyMAAAAJ:UeHWp8X0CEIC,0,,,,,,0,0,0
1182849,Leakage Currents Behaviour of ΜμC-Si PV-Modules Regarding Temperature and Relative Humidity,2014,Benno Trautmann and Viktor Wesselak and Pia Manz and Sebastian Voswinckel and Esther Fokuhl and Christoph Schmidt,,,,,,,True,gDwqQyMAAAAJ:2osOgNQ5qMEC,0,,,,,,0,0,0
1182850,Photovoltaics. How solar energy can be transformed to electricity; Photovoltaik. Wie Sonne zu Strom wird,2012,Viktor Wesselak and Sebastian Voswinckel,,,,,,,True,gDwqQyMAAAAJ:0EnyYjriUFMC,0,,,,,,0,0,0
1182851,Presence and future of thin-film photovoltaics modules; Gegenwart und Zukunft von Duennschichtphotovoltaikmodulen,2012,Sebastian Voswinckel,,,,,,,True,gDwqQyMAAAAJ:5nxA0vEk-isC,0,,,,,,0,0,0
1182852,Die Physik der Solarzelle,2012,Viktor Wesselak and Sebastian Voswinckel,,,,27-41,Springer. Berlin. Heidelberg,,True,gDwqQyMAAAAJ:_FxGoFyzp5QC,0,,,,,,0,0,0
1182853,Gegenwart und Zukunft von Dünnschichtphotovoltaikmodulen,2012,Sebastian Voswinckel,,,,,,,True,gDwqQyMAAAAJ:zYLM7Y9cAGgC,0,,,,,,0,0,0
1182854,Mehrertrag durch bifaciale Photovoltaik: Vorstellung eines Berechnungsmodells und Vergleich zwischen Simulation und Messung,,Lukas Gerstenberg and Viktor Wesselak and Sebastian Voswinckel and Sven Münter,,RET. Con 2019: Tagungsband: 2. Regenerative Energietechnik-Konferenz in Nordhausen 7.-8. Februar 2019,,109-115,,,True,gDwqQyMAAAAJ:4TOpqqG69KYC,0,,,,,,0,0,0
1182855,Life cycle assessment and grid electricity: what do we know and what can we know?,2010,Christopher L Weber and Paulina Jaramillo and Joe Marriott and Constantine Samaras,44,,6,1895-1901,American Chemical Society,,True,UYxfAAoAAAAJ:u5HHmVD_uO8C,185,,3037036871175037752,/scholar?cites=3037036871175037752,,,0,0,0
1182856,Life cycle assessment of diesel and electric public transportation buses,2013,Greg Cooney and Troy R Hawkins and Joe Marriott,17,Journal of Industrial Ecology,5,689-699,,,True,UYxfAAoAAAAJ:roLk4NBRz8UC,134,,7449345133653765742,/scholar?cites=7449345133653765742,,,0,0,0
1182857,Life cycle greenhouse gas inventory of natural gas extraction. delivery and electricity production,2011,Timothy J Skone and James Littlefield and Joe Marriott,,,NETL/DOE-2011/1522,,National Energy Technology Laboratory (NETL). Pittsburgh. PA. Morgantown. WV. and Albany. OR (United States),,True,UYxfAAoAAAAJ:LkGwnXOMwfcC,105,,5229033885964782675,/scholar?cites=5229033885964782675,,,0,0,0
1182858,Environmental effects of interstate power trading on electricity consumption mixes,2005,Joe Marriott and H Scott Matthews,39,,22,8584-8590,American Chemical Society,,True,UYxfAAoAAAAJ:u-x6o8ySG0sC,66,,12340493618472049036,/scholar?cites=12340493618472049036,,,0,0,0
1182859,Evaluating the Climate Benefits of CO2-Enhanced Oil Recovery Using Life Cycle Analysis,2015,Gregory Cooney and James Littlefield and Joe Marriott and Timothy J Skone,49,Environmental science & technology,12,7491-7500,American Chemical Society,,True,UYxfAAoAAAAJ:MXK_kJrjxJIC,64,,11509301014365149967,/scholar?cites=11509301014365149967,,,0,0,0
1182860,Increasing innovation in home energy efficiency: Monte Carlo simulation of potential improvements,2010,Kullapa Soratana and Joe Marriott,42,Energy and Buildings,6,828-833,Elsevier,,True,UYxfAAoAAAAJ:9yKSN-GCB0IC,49,,10822429596404385148,/scholar?cites=10822429596404385148,,,0,0,0
1182861,Synthesis of recent ground-level methane emission measurements from the US natural gas supply chain,2017,James A Littlefield and Joe Marriott and Greg A Schivley and Timothy J Skone,148,Journal of cleaner production,,118-126,Elsevier,,True,UYxfAAoAAAAJ:4DMP91E08xMC,43,,13794497322191694615,/scholar?cites=13794497322191694615,,,0,0,0
1182862,An electricity-focused economic input-output model: Life-cycle assessment and policy implications of future electricity generation scenarios,2007,Joe Marriott,,,,,,,True,UYxfAAoAAAAJ:d1gkVwhDpl0C,39,,5166900907907504098,/scholar?cites=5166900907907504098,,,0,0,0
