,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,got_publications,got_coauthors
46,The Scripps Research Institute,@scripps.edu,73967,IwpVn00AAAAJ,False,virology|immunology|HBV|HCV,Francis V. Chisari,https://scholar.google.com/citations?view_op=medium_photo&user=IwpVn00AAAAJ,0,0
47,Kobe International Frontier Medical Center,,73739,jQcypQ4AAAAJ,False,immunology|transplantation|surgery|living-donor liver transplantation,Koichi Tanaka,https://scholar.google.com/citations?view_op=medium_photo&user=jQcypQ4AAAAJ,0,0
48,Washington University St Louis,@wustl.edu,73584,dMX8FwkAAAAJ,False,immunology,Marco Colonna,https://scholar.google.com/citations?view_op=medium_photo&user=dMX8FwkAAAAJ,0,0
49,"Vice President of Cancer Immunology, Genentech",@gene.com,72045,QbKkAdkAAAAJ,False,cell biology|cancer|immunology,Ira Mellman,https://scholar.google.com/citations?view_op=medium_photo&user=QbKkAdkAAAAJ,0,0
50,"Group Leader, Institute for Research in Biomedicine",@irb.usi.ch,72010,AnIMWD4AAAAJ,False,Immunology,Federica Sallusto,https://scholar.google.com/citations?view_op=medium_photo&user=AnIMWD4AAAAJ,0,0
51,Rockefeller University,@rockefeller.edu,69167,aPI8STwAAAAJ,False,immunology,Jeffrey Ravetch,https://scholar.google.com/citations?view_op=medium_photo&user=aPI8STwAAAAJ,0,0
52,Harvard Medical School,@hms.harvard.edu,68046,B4a4828AAAAJ,False,microbiology|immunology,Dennis Kasper,https://scholar.google.com/citations?view_op=medium_photo&user=B4a4828AAAAJ,0,0
53,National Institutes of Health,@mail.nih.gov,67558,1qB8VokAAAAJ,False,immunology,John J. OShea,https://scholar.google.com/citations?view_op=medium_photo&user=1qB8VokAAAAJ,0,0
54,Checkmate Pharma,@checkmatepharma.com,67419,RrY0SpUAAAAJ,False,immunology|oligonucleotide therapeutics,Arthur M. Krieg,https://scholar.google.com/citations?view_op=medium_photo&user=RrY0SpUAAAAJ,0,0
55,Trinity College Dublin,,67199,epyNTTwAAAAJ,False,Immunology,Luke O'Neill,https://scholar.google.com/citations?view_op=medium_photo&user=epyNTTwAAAAJ,0,0
56,Professor of Molecular Immunology,@kennedy.ox.ac.uk,66704,g8grUOcAAAAJ,False,Immunology|Cell Biology|Inflammation,Michael Dustin,https://scholar.google.com/citations?view_op=medium_photo&user=g8grUOcAAAAJ,0,0
57,stanford university,@stanford.edu,65802,DQARXU4AAAAJ,False,immunology,lawrence steinman,https://scholar.google.com/citations?view_op=medium_photo&user=DQARXU4AAAAJ,0,0
58,Professor of Pathology and of Microbiology and Immunology,@stanford.edu,65374,PKqWL4MAAAAJ,False,mast cells and basophils|immunology,Stephen Galli,https://scholar.google.com/citations?view_op=medium_photo&user=PKqWL4MAAAAJ,0,0
