Unnamed: 0,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
42244,Preparation and structural characterization of a stibido-indium dimer,1988.0,Andrew R Barron and Alan H Cowley and Richard A Jones and Christine M Nunn and Donald L Westmoreland,7.0,Polyhedron,1,77-78,Pergamon,,True,J666WVMAAAAJ:LWqeokA2EBkC,43,,10078813618582206694,/scholar?cites=10078813618582206694,,,0,0,0
42245,Tertiary phosphine adducts of manganese (II) dicyclopentadienide. Magnetic studies and structural characterization of tilted cyclopentadienyl rings,1984.0,Christopher G Howard and Gregory S Girolami and Geoffrey Wilkinson and Mark Thornton-Pett and Michael B Hursthouse,106.0,Journal of the American Chemical Society,7,2033-2040,American Chemical Society,,True,J666WVMAAAAJ:sA9dB-pw3HoC,43,,6031038029591992631,/scholar?cites=6031038029591992631,,,0,0,0
42246,Ring methyl to phosphorus hydrogen shifts in pentamethylcyclopentadienyl-substituted phosphorus cations: parallel between main-group and transition-metal chemistry,1983.0,AH Cowley and SK Mehrotra,105.0,Journal of the American Chemical Society,7,2074-2075,American Chemical Society,,True,J666WVMAAAAJ:YFjsv_pBGBYC,43,,639897909501960883,/scholar?cites=639897909501960883,,,0,0,0
42247,New complexes derived from the interaction of dicarbonylchlororhodium (I) and tris (triphenylphosphine) chlororhodium (I) with cyclopropane. butadiene. and perfluorobutadiene,1968.0,DM Roundhill and DN Lawson and G Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,845-849,Royal Society of Chemistry,,True,J666WVMAAAAJ:JoHZYnTS1h4C,43,,15127573200374980367,/scholar?cites=15127573200374980367,,,0,0,0
42248,Synthesis of 1. 2. 4-triazol-5-ylidenes and their interaction with acetonitrile and chalcogens,2003.0,Nikolai I Korotkikh and Gennady F Rayenko and Oles P Shvaika and Tatyana M Pekhtereva and Alan H Cowley and Jamie N Jones and Charles LB Macdonald,68.0,The Journal of organic chemistry,14,5762-5765,American Chemical Society,,True,J666WVMAAAAJ:MLfJN-KU85MC,42,,2894865342014087914,/scholar?cites=2894865342014087914,,,0,0,0
42249,Some aspects of the Lewis base and ligand behavior of N-heterocyclic carbenes,2001.0,Alan H Cowley,617.0,Journal of Organometallic Chemistry,,105-109,Elsevier,,True,J666WVMAAAAJ:lSLTfruPkqcC,42,,736938081940428093,/scholar?cites=736938081940428093,,,0,0,0
42250,Ring Systems Containing Anionic and Cationic Gallium Centers: Structural and Bonding Considerations,1996.0,Jason AC Clyburne and Robert D Culp and Smuruthi Kamepalli and Alan H Cowley and Andreas Decken,35.0,Inorganic chemistry,23,6651-6655,American Chemical Society,,True,J666WVMAAAAJ:gmHTDCtJMcoC,42,,9658532273837862518,/scholar?cites=9658532273837862518,,,0,0,0
42251,Ferrocenyl-substituted phosphenium cations and phosphide anions,1983.0,SG Baxter and RL Collins and AH Cowley and SF Sena,22.0,Inorganic Chemistry,23,3475-3479,American Chemical Society,,True,J666WVMAAAAJ:kw52XkFRtyQC,42,,4792452569523247821,/scholar?cites=4792452569523247821,,,0,0,0
42252,Synthesis and properties of bis (t-butyl) methoxides of chromium (III. IV). manganese (II). iron (III). cobalt (II). and copper (I). The crystal and molecular structures of …,1980.0,Manfred Bochmann and Geoffrey Wilkinson and G Brent Young and Michael B Hursthouse and KM Abdul Malik,,"Journal of the Chemical Society, Dalton Transactions",10,1863-1871,Royal Society of Chemistry,,True,J666WVMAAAAJ:9shLKfS_uJEC,42,,8161774142063659274,/scholar?cites=8161774142063659274,,,0,0,0
42253,Dithiocarbamate complexes of rhenium (V) and (III),1972.0,John F Rowbottom and G Wilkinson,,"Journal of the Chemical Society, Dalton Transactions",7,826-830,Royal Society of Chemistry,,True,J666WVMAAAAJ:WwIwg2wKZ0QC,42,,7513635871770939236,/scholar?cites=7513635871770939236,,,0,0,0
42254,TRANSITION-METAL FLUOROCARBON COMPLEXES. V. 1 TETRAKIS-(TRIFLUOROMETHYL) CYCLOPENTADIENONE+ SOME RELATED FLUOROCARBON COMPLEXES OF RHODIUM,1964.0,RS Dickson and G Wilkinson,,JOURNAL OF THE CHEMICAL SOCIETY,AUG,2699-&,ROYAL SOC CHEMISTRY,,True,J666WVMAAAAJ:m44aUaJR3ikC,42,,16133114502194948787,/scholar?cites=16133114502194948787,,,0,0,0
42255,Some New Organo-iron Complexes,1958.0,R Burton and MLH Green and EW Abel and G Wilkinson,,,,1592-1592,SOC CHEMICAL INDUSTRY,,True,J666WVMAAAAJ:1DAnfT_YoJgC,42,,17503629643956231823,/scholar?cites=17503629643956231823,,,0,0,0
42256,Advanced inorganic chemistry. 1999,80.0,F Albert Cotton and G Wilkinson and CA Murillo and M Bochmann,,Search PubMed,,736-752,,,True,J666WVMAAAAJ:C-Rn0OCouf8C,42,,9812422167374394907,/scholar?cites=9812422167374394907,,,0,0,0
42257,Synthesis and structural characterization of a homoleptic bismuth aryl thiolate,1993.0,David A Atwood and Alan H Cowley and Robert D Hernandez and Richard A Jones and Lora L Rand and Simon G Bott and Jerry L Atwood,32.0,Inorganic Chemistry,13,2972-2974,American Chemical Society,,True,J666WVMAAAAJ:ULOm3_A8WrAC,41,,262032147686127652,/scholar?cites=262032147686127652,,,0,0,0
42258,Tetramere Gallium‐und Aluminiumchalcogenide [tBuME] 4 (M Al. Ga; E S. Se. Te). eine neue Klasse von Heterocubanen,1991.0,Alan H Cowley and Richard A Jones and Paul R Harris and David A Atwood and Leopoldo Contreras and Christof J Burek,103.0,Angewandte Chemie,9,1164-1166,WILEY‐VCH Verlag GmbH,,True,J666WVMAAAAJ:GO2DTSf4MZMC,41,,17285461555847744329,/scholar?cites=17285461555847744329,,,0,0,0
42259,Reaction of the phospha-alkyne ArC [triple bond. length half m-dash] P (Ar= 2. 4. 6-Bu t 3 C 6 H 2) with nucleophiles: a new approach to 1. 3-diphosphabutadiene synthesis,1988.0,Atta M Arif and Andrew R Barron and Alan H Cowley and Stephen W Hall,,"Journal of the Chemical Society, Chemical Communications",3,171-172,Royal Society of Chemistry,,True,J666WVMAAAAJ:oXKBmVzQOggC,41,,12154866253476760912,/scholar?cites=12154866253476760912,,,0,0,0
42260,Metal‐Induced Cyclotrimerization of a λ3‐Phosphaalkyne: Formation of a Mo‐Complexed 1. 3. 5‐Triphosphabenzene.,1987.0,AR Barron and AH Cowley,18.0,ChemInform,49,no-no,WILEY‐VCH Verlag GmbH,,True,J666WVMAAAAJ:lg2tdxc6qMwC,41,,7521919885546331949,/scholar?cites=7521919885546331949,,,0,0,0
42261,UPE studies of conjugation involving Group 5A elements. 1. Phenylphosphines,1981.0,Diane E Cabelli and Alan H Cowley and Michael JS Dewar,103.0,Journal of the American Chemical Society,12,3286-3289,American Chemical Society,,True,J666WVMAAAAJ:wE8AsS3ykUMC,41,,15574687913485219019,/scholar?cites=15574687913485219019,,,0,0,0
42262,Schiff-base complexes of ruthenium (II),1978.0,John R Thornback and Geoffrey Wilkinson,,"Journal of the Chemical Society, Dalton Transactions",2,110-115,Royal Society of Chemistry,,True,J666WVMAAAAJ:dHRcJqc9SEQC,41,,16377349554256710843,/scholar?cites=16377349554256710843,,,0,0,0
42263,The nature of the fluorine exchange processes in some alkyl-and dimethylaminofluorophosphoranes,1976.0,CG Moreland and GO Doak and LB Littlefield and NS Walker and JW Gilje and RW Braun and AH Cowley,98.0,Journal of the American Chemical Society,8,2161-2165,American Chemical Society,,True,J666WVMAAAAJ:5VjbC5aozO0C,41,,10955449156161493199,/scholar?cites=10955449156161493199,,,0,0,0
42264,Further studies on hydridocarbonyltris (triphenylphosphine) rhodium (I). Part I. Nature of inactivation of catalytic reactions,1970.0,M Yagupsky and CK Brown and G Yagupsky and G Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,937-941,Royal Society of Chemistry,,True,J666WVMAAAAJ:PoWvk5oyLR8C,41,,3245618386958652849,/scholar?cites=3245618386958652849,,,0,0,0
42265,The vibrational spectra and structures of phosphorus compounds—I. Diphosphine disulfides,1966.0,A Ho Cowley and WD White,22.0,Spectrochimica Acta,8,1431-1440,Elsevier,,True,J666WVMAAAAJ:pcWPcJyQGiUC,41,,16119318412335094710,/scholar?cites=16119318412335094710,,,0,0,0
42266,Spectra and structures of metal-carbon monoxide compounds—II: Manganese and rhenium decacarbonyls,1956.0,F Albert Cotton and Andrew Liehr and Geoffrey Wilkinson,2.0,Journal of Inorganic and Nuclear Chemistry,3,141-148,Pergamon,,True,J666WVMAAAAJ:b0M2c_1WBrUC,41,,1053612525999713690,/scholar?cites=1053612525999713690,,,0,0,0
42267,Transmetalation Reactions of Sterically Encumbered Gallium and Indium Halides with Tetrahydrometalates. Synthesis and Structure of a Base-Free Monomeric Aluminum Hydride,1995.0,Alan H Cowley and Harold S Isom and Andreas Decken,14.0,Organometallics,5,2589-2592,American Chemical Society,,True,J666WVMAAAAJ:NyGDZy8z5eUC,40,,4493901799966618303,/scholar?cites=4493901799966618303,,,0,0,0
42268,Non-oxo chemistry of manganese in high oxidation states. Part 1. Mononuclear tert-butylimido compounds of manganese-(VII) and-(VI),1994.0,Andreas A Danopoulos and Geoffrey Wilkinson and Tracy KN Sweet and Michael B Hursthouse,,"Journal of the Chemical Society, Dalton Transactions",7,1037-1049,Royal Society of Chemistry,,True,J666WVMAAAAJ:QeguYG95ZbAC,40,,11955027862398567389,/scholar?cites=11955027862398567389,,,0,0,0
