,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
122739,The evolution of polyandry: sperm competition. sperm selection. and offspring viability,2005,Leigh W Simmons,36,,,,,,True,Ymqqv10AAAAJ:9yKSN-GCB0IC,483,,15811838766951851781,/scholar?cites=15811838766951851781,,,0,0,0
122740,Does sexual dimorphism in human faces signal health?,2003,Gillian Rhodes and Janelle Chan and Leslie A Zebrowitz and Leigh W Simmons,270,Proceedings of the Royal Society of London. Series B: Biological Sciences,suppl_1,S93-S95,The Royal Society,,True,Ymqqv10AAAAJ:UeHWp8X0CEIC,471,,9564426572484741359,/scholar?cites=9564426572484741359,,,0,0,0
122741,10 Sperm Competition in Insects: Mechanisms and the Potential,1998,LW Simmons and MT Siva-Jothy,,Sperm competition and sexual selection,,341,Elsevier,,True,Ymqqv10AAAAJ:edDO8Oi4QzsC,453,,2463983924429846543,/scholar?cites=2463983924429846543,,,0,0,0
122742,Experimental reversal of courtship roles in an insect,1990,DT Gwynne and LW Simmons,346,Nature,6280,172-174,Nature Publishing Group,,True,Ymqqv10AAAAJ:d1gkVwhDpl0C,321,,10677112986436131172,/scholar?cites=10677112986436131172,,,0,0,0
122743,Female choice in the field cricket Gryllus bimaculatus (De Geer),1986,LW Simmons,34,Animal Behaviour,5,1463-1470,Academic Press,,True,Ymqqv10AAAAJ:2osOgNQ5qMEC,304,,104438291362261076,/scholar?cites=104438291362261076,,,0,0,0
122744,Evolutionary trade-off between weapons and testes,2006,Leigh W Simmons and Douglas J Emlen,103,Proceedings of the National Academy of Sciences,44,16346-16351,National Academy of Sciences,,True,Ymqqv10AAAAJ:YOwf2qJgpHMC,284,,4465213340727165207,/scholar?cites=4465213340727165207,,,0,0,0
122745,Towards a resolution of the lek paradox,2001,Janne S Kotiaho and Leigh W Simmons and Joseph L Tomkins,410,Nature,6829,684-686,Nature Publishing Group,,True,Ymqqv10AAAAJ:qjMakFHDy7sC,278,,7175221467006825434,/scholar?cites=7175221467006825434,,,0,0,0
122746,Climate change and evolution: disentangling environmental and genetic responses,2008,Phillip Gienapp and Celine Teplitsky and JS Alho and JA Mills and Juha Merilä,17,,1,167-178,Blackwell Publishing Ltd,,True,cZJ7ifQAAAAJ:d1gkVwhDpl0C,1091,,10360187884110121660,/scholar?cites=10360187884110121660,,,0,0,0
122747,Comparison of genetic differentiation at marker loci and quantitative traits,2001,J Merilä and P Crnokrak,14,,6,892-903,Blackwell Science Ltd,,True,cZJ7ifQAAAAJ:u5HHmVD_uO8C,848,,18211007711482001676,/scholar?cites=18211007711482001676,,,0,0,0
122748,Ecological genomics of local adaptation,2013,Outi Savolainen and Martin Lascoux and Juha Merilä,14,,11,807-820,Nature Publishing Group,,True,cZJ7ifQAAAAJ:Aul-kAQHnToC,833,,5858661914636825221,/scholar?cites=5858661914636825221,,,0,0,0
