,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
440384,"Professor, Harvard Medical School",,24788,fUqBrO4AAAAJ,{'indices'},,Carl-Fredrik Westin,,9069,77,51,259,165,0,0
440385,Inria Research Director - Athena Project Team Leader,,28246,UDRtJsEAAAAJ,{'indices'},,Rachid Deriche,,5455,75,33,229,101,0,0
440386,"Professor of Electrical & Electronics Eng., Bogazici University",,3813,H3t6R04AAAAJ,{'indices'},,Burak Acar,,1132,25,17,36,22,0,0
440387,Ecole Polytechnique Fédérale de Lausanne (EPFL),,26170,mII-l2cAAAAJ,{'indices'},,Jean-Philippe Thiran,,12060,70,49,306,204,0,0
440388,GoPro,,2906,wfo0RS4AAAAJ,{'indices'},,Karl Krissian,,1077,22,15,35,21,0,0
440389,"Business Science Institute; IAE LYON, Jean Moulin University",,3776,cl_E6ZYAAAAJ,{'indices'},,Michel KALIKA,,1351,28,17,71,31,0,0
440390,Professor of Information Systems at Ecole de Management Léonard de Vinci,,16,1U_NJ-UAAAAJ,{'indices'},,Peter bou Saba,,16,2,2,0,0,0,0
440391,Maître de Conférences HDR - Université de Montpellier associée à l'INSEEC Paris,,537,Dm6gzN0AAAAJ,{'indices'},,fanny juliet poujol,,300,10,7,10,6,0,0
440392,Preside Facoltà di Economia Uninettuno,,1035,OYNU_MoAAAAJ,{'indices'},,Marco De Marco,,459,17,12,25,15,0,0
440393,FUMEC University,,1554,FQjTCfwAAAAJ,{'indices'},,Fernando Silva Parreiras,,726,21,12,32,15,0,0
440394,LAIS - Universidade Fumec,,11,u9Vq3GkAAAAJ,{'indices'},,Bruno Rafael de Oliveira Rodrigues,,10,2,1,0,0,0,0
440395,,,100,FuIZVygAAAAJ,{'indices'},,Dairton Bassi,,37,5,3,3,2,0,0
440396,Sakarya Üniversitesi Yönetim Bilişim Sistemleri Bölümü,,1300,Eab6J5kAAAAJ,{'indices'},,Aykut Hamit Turan,,851,19,17,32,22,0,0
440397,Sakarya Üniversitesi Yönetim Bilişim Sistemleri Bölümü,,211,DuPKLNYAAAAJ,{'indices'},,Tuğba Koç,,204,7,7,5,4,0,0
440398,Associate Professor of Management Information Systems at Sakarya Business School,,107,Z9IE-6gAAAAJ,{'indices'},,Adem Akbıyık,,94,6,6,5,4,0,0
440399,Sakarya Üniversitesi,,81,VeWbbCsAAAAJ,{'indices'},,Merve Türkmen Barutçu,,77,5,5,3,3,0,0
440400,"Uluslararası Lojistik ve Taşımacılık Yardımcı Doçent, Adnan Menderes Üniversitesi",,161,mmU-VcgAAAAJ,{'indices'},,ALGIN OKURSOY,,149,7,6,5,4,0,0
440401,"MBSC of Business and Entrepreneurship and Izmir Bakircay University Business School, MIS Dept.",,513,0nbS7PkAAAAJ,{'indices'},,Erman Coskun,,296,12,9,14,8,0,0
440402,"Öğretim Görevlisi, Bursa Teknik Üniversitesi",,12,pM4GIpoAAAAJ,{'indices'},,Mehmet Oytun CİBAROĞLU,,12,2,2,0,0,0,0
440403,University of Arkansas Little Rock,,905,Dl6N6rgAAAAJ,{'indices'},,Karen Moustafa Leonard,,627,15,11,17,12,0,0
440404,Sakarya University,,42,o1RBGtUAAAAJ,{'indices'},,BÜŞRA ALMA,,42,2,2,1,1,0,0
440405,University of Southern Queensland,,638,aHZO8gIAAAAJ,{'indices'},,Erich C. Fein,,447,14,13,19,13,0,0
440406,"profesor , ase",,79,SXnDebgAAAAJ,{'indices'},,constantin bob,,30,6,3,3,0,0,0
440407,"Profesor de management, ASE, Facultatea Business si Turism",,324,YwJ5XFkAAAAJ,{'indices'},,CLAUDIA ELENA TUCLEA,,168,10,7,10,5,0,0
440408,Academia de Studii Economice din București,,90,f559yb8AAAAJ,{'indices'},,MADALINA LAVINIA TALA,,76,4,3,2,2,0,0
440409,"University of Münster, Germany",,50,iDf8efUAAAAJ,{'indices'},,Guiying Du,,50,4,4,1,1,0,0
440410,GESIS - Leibniz Institute for the Social Sciences,,1847,RIB8suEAAAAJ,{'indices'},,Philipp Mayr,,919,21,14,51,30,0,0
440411,"Professor of Information Retrieval, Institute for Information Science, TH Köln",,439,XTjmqCwAAAAJ,{'indices'},,Philipp Schaer,,251,10,8,10,8,0,0
440412,Postdoctoral Researcher at GESIS,,980,3VOCFjMAAAAJ,{'indices'},,Dagmar Kern,,475,15,12,18,13,0,0
440413,GESIS - Leibniz Institute for the Social Sciences,,65,0M2y7-IAAAAJ,{'indices'},,Frank Sawitzki,,53,3,2,1,1,0,0
440414,GESIS - Leibniz-Institute for the Social Sciences,,406,xW4VM40AAAAJ,{'indices'},,Benjamin Zapilko,,202,10,7,11,4,0,0
440415,GESIS - Leibnizinstitut for Social Sciences,,532,I3QPfcAAAAAJ,{'indices'},,Brigitte Mathiak,,179,12,7,16,5,0,0
440416,"Associate Professor, University of Washington",,4935,H4dLAw0AAAAJ,{'indices'},,Chirag Shah,,2772,32,27,99,72,0,0
440417,"Professor, School of Communication & Information, Rutgers University",,19601,0K0G50IAAAAJ,{'indices'},,Nicholas Belkin,,3938,55,34,148,73,0,0
440418,"GESIS – Leibniz Institute for the Social Sciences, Department Knowledge Technologies",,854,WaDvdE0AAAAJ,{'indices'},,Peter Mutschke,,213,16,8,22,7,0,0
440419,Fraunhofer IAIS,,454,P9p1pYkAAAAJ,{'indices'},,Dennis Wegener,,94,10,6,11,3,0,0
440420,"Postdoctoral Associate, Rutgers University",,276,mbvpOU0AAAAJ,{'indices'},,Matthew Mitsui,,255,9,9,9,9,0,0
440421,GESIS - Leibniz-Institute for the Social Sciences,,250,H9fyHCkAAAAJ,{'indices'},,Johann Schaible,,172,7,7,6,5,0,0
440422,"Research Associate, GESIS Leibniz Institute for the Social Sciences",,26,QRUvK3kAAAAJ,{'indices'},,Wilko van Hoek,,20,3,2,1,1,0,0
440423,"Professor for Data Science at University of Mannheim, Germany",,6053,SkSl3NkAAAAJ,{'indices'},,Heiko Paulheim,,4798,40,34,105,86,0,0
440424,"Professor für Informatik, Universität Düsseldorf",,2743,ZJbwV1IAAAAJ,{'indices'},,Stefan Conrad,,580,25,12,69,14,0,0
440425,"Ph.D. Student, GESIS - Leibniz-Institute for the Social Sciences",,61,AlB1gtwAAAAJ,{'indices'},,Matthäus Zloch,,44,4,3,4,2,0,0
440426,Full Professor (Heinrich-Heine-University Düsseldorf) & Scientific Director (WTS/GESIS),,2733,WR3U5SkAAAAJ,{'indices'},,Stefan Dietze,,1655,27,21,81,45,0,0
440427,"Assistant Professor, Ruhr University Bochum (RUB)",,729,druU9nsAAAAJ,{'indices'},,Maribel Acosta,,543,12,11,16,13,0,0
440428,"Senior Economist-Statistician/Financial Data Scientist, European Central Bank, Frankfurt",,1869,5AWhYOoAAAAJ,{'indices'},,Thomas Gottron,,961,22,17,40,21,0,0
440429,"Professor, Oslo Metropolitan University (OsloMet)",,2989,x16X_hkAAAAJ,{'indices'},,Pia Borlund,,813,21,13,25,19,0,0
440430,"Harbert Eminent Scholar, Auburn University",,2195,xvMSU60AAAAJ,{'indices'},,David Paradice,,505,27,11,43,12,0,0
440431,STIE AMKOP Makassar (ID Scopus:5720744971; WoS ID:AAH-5441-2019; http://orcid.org/0000-0002-9570,,209,oeWCrPkAAAAJ,{'indices'},,Hasmin Tamsah,,209,7,7,6,6,0,0
440432,"Associate Professor in Marketing and Service Management, Hasanuddin University",,229,i6vy9gUAAAAJ,{'indices'},,Abdul Razak Munir,,214,9,9,9,9,0,0
440433,Scopus ID : 57205115491 | OrcID: https://orcid.org/0000-0002-9530 | Publons: AAB-6490-2020,,956,YIkyTxsAAAAJ,{'indices'},,Aditya Halim Perdana Kusuma Putra,,923,20,20,42,42,0,0
440434,STIE Nobel Indonesia Makassar,,108,fJYnfloAAAAJ,{'indices'},,Ahmad Firman,,108,5,5,4,4,0,0
440435,Pascasarjana STIE AMKOP Makassar,,30,903wd94AAAAJ,{'indices'},,Prof Mattalatta,,29,3,3,0,0,0,0
440436,Universitas Indonesia,,216,FdT8EVAAAAAJ,{'indices'},,Achmad Fauzi Kamal,,184,8,7,5,4,0,0
440437,"Lecturer of Economic Faculty, Muslim University of Indonesia",,179,9kbcWQQAAAAJ,{'indices'},,Muhammad Ashoer,,179,8,8,7,7,0,0
440438,STIE NOBEL,,114,FMJNwwUAAAAJ,{'indices'},,"Dr. H.Muhammad Hidayat, S.E.,M.M",,114,5,5,4,4,0,0
440439,STIE Nobel Indonesia,,26,tn8t-EMAAAAJ,{'indices'},,Fitriany Nobel,,26,1,1,1,1,0,0
