Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
30605,"Professor of Computer Science and Information Engineering, National Taiwan University",@csie.ntu.edu.tw,4956,yAr4UPUAAAAJ,{'indices'},Machine Learning|Data Mining,Hsuan-Tien Lin,https://scholar.google.com/citations?view_op=medium_photo&user=yAr4UPUAAAAJ,2701,26,21,50,37,0,1
30606,IBM TJ Watson Research Center,@us.ibm.com,4950,fukjH1cAAAAJ,{'indices'},Quantum Computing|Parallel Computing|Machine Learning|Data Mining|AI Planning,Edwin Pednault,https://scholar.google.com/citations?view_op=medium_photo&user=fukjH1cAAAAJ,1222,35,19,50,24,0,1
30607,"Professor at FEP, U.Porto, Member of LIAAD-INESC Tec",@inescporto.pt,4932,SaB1VPQAAAAJ,{'indices'},Machine Learning|Data Mining,Pavel Brazdil,https://scholar.google.com/citations?view_op=medium_photo&user=SaB1VPQAAAAJ,1882,33,21,59,33,0,1
30608,"Sree Chaitanya College of Engineering, Karimnagar",,4930,WCzloLUAAAAJ,{'indices'},Data Mining|Cryptography and Network Security,Ananthoju vijay kumar,https://scholar.google.com/citations?view_op=medium_photo&user=WCzloLUAAAAJ,3326,17,15,131,60,0,1
30609,Massachusetts Institutue of Technology,@mit.edu,4927,NrOA9QoAAAAJ,{'indices'},Statistical Machine Learning|Deep Learning|Bayesian Deep Learning|Data Mining|Recommender Systems,Hao WANG,https://scholar.google.com/citations?view_op=medium_photo&user=NrOA9QoAAAAJ,4851,14,14,14,14,0,1
30610,Professor of Korea University,@korea.ac.kr,4919,AoAwxYQAAAAJ,{'indices'},Data hiding|security engineering|signal processing|data mining,Hyoung Joong Kim,https://scholar.google.com/citations?view_op=medium_photo&user=AoAwxYQAAAAJ,2030,31,21,64,37,0,1
30611,"Professor of Computer Science, University College Dublin",@ucd.ie,4886,N-0-CjwAAAAJ,{'indices'},Artificial Intelligence|Data Mining|Big Data|Distributed Systems|Digital Forensics and Cybersecurity,MT Kechadi,https://scholar.google.com/citations?view_op=medium_photo&user=N-0-CjwAAAAJ,2761,34,25,111,71,0,1
30612,"Professor of Computer Science and Engineering, Hong Kong University of Science and …",@cse.ust.hk,4838,NJ6YPT4AAAAJ,{'indices'},Databases|Data Mining|Web Search,Wilfred Ng,https://scholar.google.com/citations?view_op=medium_photo&user=NJ6YPT4AAAAJ,2240,39,25,99,51,0,1
30613,"Associate Professor of Information Sciences and Technology, Pennsylvania State University",@ist.psu.edu,4832,r0nnyGYAAAAJ,{'indices'},Data Mining|Urban Computing|Machine Learning,Zhenhui (Jessie) Li,https://scholar.google.com/citations?view_op=medium_photo&user=r0nnyGYAAAAJ,3691,31,29,58,56,0,1
30614,"Facebook, London, UK",@fb.com,4826,pi985dQAAAAJ,{'indices'},Information Retrieval|Search Engines|Computational Advertising|Data Mining,Fabrizio Silvestri,https://scholar.google.com/citations?view_op=medium_photo&user=pi985dQAAAAJ,1819,37,24,76,43,0,1
30615,"Professor of Computer Science, University of New Mexico",@cs.unm.edu,4819,1hfdDW4AAAAJ,{'indices'},Machine Learning|Data Mining|Artificial Intelligence|Computational Biology|Computational Neuroscience,Terran Lane,https://scholar.google.com/citations?view_op=medium_photo&user=1hfdDW4AAAAJ,1592,31,20,61,31,0,1
30616,"Associate Professor, Faculdade de Engenharia, Universidade do Porto / Fraunhofer AICOS …",@fep.up.pt,4813,Lw7ojGsAAAAJ,{'indices'},Machine Learning|Data Mining|artificial Intelligence,Carlos Soares,https://scholar.google.com/citations?view_op=medium_photo&user=Lw7ojGsAAAAJ,2625,31,23,81,55,0,1
