,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
127269,Ethical Rights,@ethicalrights.com,777,HS050cAAAAAJ,{'indices'},Ethics|science,David Swanton,https://scholar.google.com/citations?view_op=medium_photo&user=HS050cAAAAAJ,35,15,4,16,1,0,0
127270,University of Hawaii,@hawaii.edu,775,X-GbwEoAAAAJ,{'indices'},Education|Science,Tara O'Neill,https://scholar.google.com/citations?view_op=medium_photo&user=X-GbwEoAAAAJ,555,10,8,10,6,0,0
127271,SAFOSO AG / Meticulous Graphics,@meticulous.graphics,771,DfXMsTgAAAAJ,{'indices'},science|graphic design,Ulrich Sperling,https://scholar.google.com/citations?view_op=medium_photo&user=DfXMsTgAAAAJ,153,6,5,5,5,0,0
127272,Research scholar,,765,Naz0c9gAAAAJ,{'indices'},science,Dr. Prabu kumar Seetharaman,https://scholar.google.com/citations?view_op=medium_photo&user=Naz0c9gAAAAJ,761,16,16,18,18,0,0
127273,John Crane - A Smiths Company,@johncrane.com,764,RgZLt4EAAAAJ,{'indices'},History|Archeology|Art|Mathematics|Science,Xin Hu,https://scholar.google.com/citations?view_op=medium_photo&user=RgZLt4EAAAAJ,345,15,8,17,8,0,0
127274,"MD, PhD",,758,87V9cXIAAAAJ,{'indices'},psychology|science|psychiatry,Joeri Tijdink,https://scholar.google.com/citations?view_op=medium_photo&user=87V9cXIAAAAJ,690,13,12,16,15,0,0
127275,University of Pittsburgh,@pitt.edu,753,IL7DBG8AAAAJ,{'indices'},Rhetoric|Philosophy|Science|Argument,John Lyne,https://scholar.google.com/citations?view_op=medium_photo&user=IL7DBG8AAAAJ,123,13,7,18,4,0,0
127276,Liceo Taller San Miguel,,751,KNx6BYYAAAAJ,{'indices'},science|math|history|English,Dhana Marais,https://scholar.google.com/citations?view_op=medium_photo&user=KNx6BYYAAAAJ,436,16,11,20,13,0,0
127277,,@wcs.k12.va.us,750,YmiW1QQAAAAJ,{'indices'},computer science|nature|math|science|astronomy,Anna Woodall,https://scholar.google.com/citations?view_op=medium_photo&user=YmiW1QQAAAAJ,479,7,7,7,7,0,0
127278,Highschool student,,741,J0S-3kAAAAAJ,{'indices'},Science,John Alarcon,https://scholar.google.com/citations?view_op=medium_photo&user=J0S-3kAAAAAJ,293,11,8,11,7,0,0
127279,"Markanda National College, Shahabad, Markanda",,740,BHmxdLMAAAAJ,{'indices'},Science|Arts and Commerce,"Markanda National College, Shahabad, Markanda",https://scholar.google.com/citations?view_op=medium_photo&user=BHmxdLMAAAAJ,447,15,10,25,15,0,0
127280,Air University,,738,kObmrjQAAAAJ,{'indices'},Science|Engineering|History|Religion|Theology,Muhummad Mushtaq Tariq,https://scholar.google.com/citations?view_op=medium_photo&user=kObmrjQAAAAJ,486,13,12,15,12,0,0
127281,"postgraduate student, rajiv gandhi university",,736,saW4oL8AAAAJ,{'indices'},science,Ancia Vas,https://scholar.google.com/citations?view_op=medium_photo&user=saW4oL8AAAAJ,400,17,11,30,14,0,0
127282,student,,735,rWWWyr8AAAAJ,{'indices'},science,Shivranj Rasheel,https://scholar.google.com/citations?view_op=medium_photo&user=rWWWyr8AAAAJ,352,1,1,1,1,0,0
127283,Assistant Professor at School of Applied Sciences,@fca.unicamp.br,733,W0yCL5YAAAAJ,{'indices'},Science|technology and innovation management,Adriana Bin,https://scholar.google.com/citations?view_op=medium_photo&user=W0yCL5YAAAAJ,256,12,10,18,10,0,0
127284,Hind Agri-Horticulture Society,@researchjournal.co.in,731,QqKSQzoAAAAJ,{'indices'},Agricultural|Commerce|Science|Arts,HAS (Hind Agri-Horticulture Society),https://scholar.google.com/citations?view_op=medium_photo&user=QqKSQzoAAAAJ,723,7,7,2,2,0,0
127285,"B,S,S. Volkswirtschaftliche Beratung",@bss-basel.ch,727,0jLT57oAAAAJ,{'indices'},Science|technology and innovation policy|business model innovaitons|digitization|industry 4.0,Niclas Meyer,https://scholar.google.com/citations?view_op=medium_photo&user=0jLT57oAAAAJ,430,6,6,4,3,0,0
127286,Pakistan Council for Science and Technology,@pcst.org.pk,721,pt86joEAAAAJ,{'indices'},Science|Technology and Innovation Policy|STI Capacity|Academia Industry Linkages|STI & Socioeconomic Development,Tariq Bashir,https://scholar.google.com/citations?view_op=medium_photo&user=pt86joEAAAAJ,548,16,12,20,14,0,0
127287,Belgian Early Warning System Drugs - WIV-ISP,@wiv-isp.be,714,itqyarQAAAAJ,{'indices'},new psychoactive substances|drugs|science|atheism,Peter Blanckaert,https://scholar.google.com/citations?view_op=medium_photo&user=itqyarQAAAAJ,376,14,10,18,11,0,0
127288,University of The Basque Country,@ehu.eus,713,RmdTbmMAAAAJ,{'indices'},science education|didactic|mathematics|science,José Domingo Villarroel,https://scholar.google.com/citations?view_op=medium_photo&user=RmdTbmMAAAAJ,428,12,11,15,12,0,0
127289,"Assistant Professor, Department of Sociology, Santa Clara University",@scu.edu,709,wROgSiMAAAAJ,{'indices'},inequality|gender|information|science|health,Molly M. King,https://scholar.google.com/citations?view_op=medium_photo&user=wROgSiMAAAAJ,632,5,5,3,3,0,0
127290,Center for Open and Relational Theology; Northwind Theological Seminary,@nnu.edu,709,Rd0LTyoAAAAJ,{'indices'},theology|science|philosophy|love,Thomas jay oord,https://scholar.google.com/citations?view_op=medium_photo&user=Rd0LTyoAAAAJ,397,12,9,17,9,0,0
127291,Full Professor at UFSB - Brazil,@pq.cnpq.br,704,M8aC6o0AAAAJ,{'indices'},Science|Technology and Innovation Management,Rogério Hermida Quintella,https://scholar.google.com/citations?view_op=medium_photo&user=M8aC6o0AAAAJ,261,16,9,22,8,0,0
127292,"ASSO. PROF. OF PHILOSOPHY,DIRECTORATE OF GENERAL STUDIES,FEDERAL …",@futo.edu.ng,701,bTAKrEUAAAAJ,{'indices'},SCIENCE|TECHNOLOGY|MORALITY,DR. JUDE ADINDU ONUOHA,https://scholar.google.com/citations?view_op=medium_photo&user=bTAKrEUAAAAJ,391,12,10,16,10,0,0
127293,"Institute for Social, Behavioral and Economic Research, University of California Santa …",@ucsb.edu,699,KtaiIC8AAAAJ,{'indices'},science|technology|innovation,Luciano Kay,https://scholar.google.com/citations?view_op=medium_photo&user=KtaiIC8AAAAJ,407,13,10,16,14,0,0
127294,Dr.,@novartis.com,697,uS6m06wAAAAJ,{'indices'},science,Joerg Sedelmeier,https://scholar.google.com/citations?view_op=medium_photo&user=uS6m06wAAAAJ,427,13,12,14,13,0,0
127295,(student)diploma in computer science,,693,nC5eBTUAAAAJ,{'indices'},latatest technology|networking|programing|hacking|science,jatoth srinivas,https://scholar.google.com/citations?view_op=medium_photo&user=nC5eBTUAAAAJ,500,15,11,24,14,0,0
127296,National University of Ireland Student,,692,meUZ3TUAAAAJ,{'indices'},Science,Tom McHugh,https://scholar.google.com/citations?view_op=medium_photo&user=meUZ3TUAAAAJ,75,3,2,2,2,0,0
127297,Trabzon University,@ktu.edu.tr,684,PLpsdwQAAAAJ,{'indices'},education|science|study case,Tulay SENEL CORUHLU,https://scholar.google.com/citations?view_op=medium_photo&user=PLpsdwQAAAAJ,383,13,11,18,13,0,0
