Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
188771,"INAF Osservatorio Astronomico di Roma Via Frascati 33, 00040 Monte Porzio Catone, RM, Italy",,7039,eGTMih4AAAAJ,{'indices'},,silvia piranomonte,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j9U2cmMAAAAJ&citpid=2,2135,34,21,41,29,0,0
188772,"Department of Physics, National & Kapodistrian University of Athens",,1955,5aVszp8AAAAJ,{'indices'},High-Energy Astrophysics,Maria Petropoulou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5aVszp8AAAAJ&citpid=1,1761,23,22,44,42,0,0
188773,Harvard-Smithsonian Center for Astrophysics,,45835,4nxqm4sAAAAJ,{'indices'},Quasars|X-ray astronomy|Asteroids,Martin Elvis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4nxqm4sAAAAJ&citpid=2,13961,110,54,396,239,0,0
188774,"Senior Astronomer, Director INAF Astrophysics and Space Science Observatory,  Bologna",,35534,7XOH-KkAAAAJ,{'indices'},Astrophysics|High Energy Astrophysics|Observational Cosmology,Andrea Comastri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7XOH-KkAAAAJ&citpid=2,14346,92,62,339,222,0,0
188775,"Professor of High Energy Astrophysics, National and Kapodistrian University of Athens",,5950,xnVTyRMAAAAJ,{'indices'},High Energy Astrophysics,Apostolos Mastichiadis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xnVTyRMAAAAJ&citpid=2,2069,34,20,65,28,0,0
188776,DIFA - Alma Mater Studiorum Università di Bologna,,29777,DLJXbVwAAAAJ,{'indices'},astrophysics|agn|black holes|galaxy evolution,Marcella Brusa,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DLJXbVwAAAAJ&citpid=2,13822,86,64,220,187,0,0
188777,"Graduate Student, TUM - Institute of Advanced Studies",,449,JoWE9R0AAAAJ,{'indices'},Astroparticle Physics|Data Science|Cosmology|Statistics|Astronomy,Theo Glauch,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JoWE9R0AAAAJ&citpid=1,448,4,4,2,2,0,0
188778,"Astronomer Emeritus, Space Telescope Science Institute",,58170,Jqgr6uYAAAAJ,{'indices'},supernovae and supernova remnants|stellar winds|stellar populations|diffuse matter in galaxies|cosmology,Nino Panagia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Jqgr6uYAAAAJ&citpid=2,13673,89,39,304,142,0,0
188779,ICRANet-Armenia NAS RA,,1281,EV7EfAkAAAAJ,{'indices'},,Narek Sahakyan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j9U2cmMAAAAJ&citpid=2,1210,15,14,20,19,0,0
188780,"Associate professor, Department of Physics, Faculty of Science, University of Zagreb",,20922,1oTXAa8AAAAJ,{'indices'},Astronomy|astrophysics,Vernesa Smolcic,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1oTXAa8AAAAJ&citpid=3,8043,54,45,105,95,0,0
188781,"Astrophysicist, JPL/Caltech",,65942,QVbokjsAAAAJ,{'indices'},astronomy & astrophysics,Daniel Stern,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1oTXAa8AAAAJ&citpid=3,32019,116,78,567,475,0,0
188782,INAF Osservatorio Astronomico di Padova,,5725,cbMHOp4AAAAJ,{'indices'},Extragalactic astrophysics,Paola Marziani,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1oTXAa8AAAAJ&citpid=3,2341,39,25,88,62,0,0
188783,Univerisità di Perugia,,57643,xKAeCmQAAAAJ,{'indices'},astronomy|astrophysics|physics,Gino Tosti,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xKAeCmQAAAAJ&citpid=4,23450,120,75,345,259,0,0
188784,"Capodimonte Astronomical Observatory - INAF, Naples",,26102,33sOAcYAAAAJ,{'indices'},Astrophysics,Massimo Della Valle,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=33sOAcYAAAAJ&citpid=3,9842,72,46,240,149,0,0
188785,"Professor of astrophysics, university of Geneva",,97302,P-XcVYgAAAAJ,{'indices'},exoplanets|dynamical systems|binaries|astrobiology|chaos,stephane udry,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=33sOAcYAAAAJ&citpid=3,41834,152,92,1123,831,0,0
188786,"University of California, Berkeley",,65893,BpJMstEAAAAJ,{'indices'},astronomy,Geoffrey Marcy,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BpJMstEAAAAJ&citpid=2,24141,136,77,375,292,0,0
188787,"Professor Emerita of Astrophysical Sciences, Princeton University",,111095,ZyH3HIAAAAAJ,{'indices'},planet imaging|stellar astrophysics|interstellar medium,Gillian Knapp,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BpJMstEAAAAJ&citpid=2,31895,130,71,370,224,0,0
188788,"Senior CNRS research engineer, GEPI, Observatoire de Paris",,18875,xteyqkoAAAAJ,{'indices'},astronomy,Frédéric Arenou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xteyqkoAAAAJ&citpid=2,12411,48,34,89,61,0,0
188789,"Chargé de cours ISA, Faculté d'architecture, Université de Liège",,417,ljwx8gQAAAAJ,{'indices'},,Sylvie Jancart,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ljwx8gQAAAAJ&citpid=1,157,8,6,6,3,0,0
188790,Tel Aviv University,,31527,_CkFW0oAAAAJ,{'indices'},Astronomy,Tsevi Mazeh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_CkFW0oAAAAJ&citpid=2,16053,85,52,255,160,0,0
188791,"Professeur, Observatoire de Paris",,15860,SlpgZCgAAAAJ,{'indices'},,Yveline Lebreton,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SlpgZCgAAAAJ&citpid=1,11480,48,33,110,62,0,0
188792,U. of California at Santa Cruz,,34950,1UR-fFgAAAAJ,{'indices'},Astronomy,Steven S. Vogt,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1UR-fFgAAAAJ&citpid=2,14226,91,47,194,123,0,0
188793,Institut d'Astrophysique de Paris,,601,AbU8iFYAAAAJ,{'indices'},Astronomie|astrophysique|exoplanètes|exocomètes|étoiles binaires,Flavien Kiefer,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1UR-fFgAAAAJ&citpid=2,530,14,14,18,18,0,0
188794,University of Hertfordshire,,15848,SM6NKJ4AAAAJ,{'indices'},Exoplanets|Brown Dwarfs|Stars,Hugh Jones,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SM6NKJ4AAAAJ&citpid=1,6146,63,37,282,155,0,0
188795,INAF - Osservatorio Astrofisico di Torino,,19419,wKocxXwAAAAJ,{'indices'},Pianeti Extrasolari,Alessandro Sozzetti,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SM6NKJ4AAAAJ&citpid=1,14759,57,48,153,126,0,0
