Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
54915,UCB,@ucb.com,524,d5JS_8IAAAAJ,{'indices'},Genetics,Ciara Vangjeli,https://scholar.google.com/citations?view_op=medium_photo&user=d5JS_8IAAAAJ,227,8,6,8,5,0,0
54916,"Graduate Student; University of Toronto, Centre for Addiction and Mental Health",@camh.ca,523,bA5RxSoAAAAJ,{'indices'},Schizophrenia|Tobacco Dependence|Genetics|Drug Use,Kristen Mackowick,https://scholar.google.com/citations?view_op=medium_photo&user=bA5RxSoAAAAJ,317,10,10,10,10,0,0
54917,"Ph.D student, The University of Adelaide",@adelaide.edu.au,523,qYy_djwAAAAJ,{'indices'},Genetics,Stanley Tan,https://scholar.google.com/citations?view_op=medium_photo&user=qYy_djwAAAAJ,396,9,8,9,8,0,0
54918,"Assistant Professor at Department of Statistics and Actuarial Science, The University of Iowa",@uiowa.edu,523,BR_89wIAAAAJ,{'indices'},Distributed Bayesian Inference|Computational Statistics|Genetics|Latent Variable Models|High-Dimensional Regularization,Sanvesh Srivastava,https://scholar.google.com/citations?view_op=medium_photo&user=BR_89wIAAAAJ,442,10,9,10,9,0,0
54919,"assistant professor , research associate, Department of Medical Biology, School of Medicine",@mef.hr,523,TOvGRSEAAAAJ,{'indices'},cardiovascular biology|tumorigenesis|genetics|epigenetics|molecular biology,Frane Paić,https://scholar.google.com/citations?view_op=medium_photo&user=TOvGRSEAAAAJ,251,6,6,6,6,0,0
54920,University of California San Francisco,@ucsf.edu,523,Sz3xxBQAAAAJ,{'indices'},Genetics|C. elegans|Nuclear Hormone Receptors|Sir Silencing,Deborah Thurtle-Schmidt,https://scholar.google.com/citations?view_op=medium_photo&user=Sz3xxBQAAAAJ,406,5,5,5,5,0,0
54921,Karolinska Institutet,@ki.se,523,q_H-DpwAAAAJ,{'indices'},Bioinformatics|Statistical Methods|Genetics|Machine Learning,Tojo James,https://scholar.google.com/citations?view_op=medium_photo&user=q_H-DpwAAAAJ,506,11,11,11,11,0,0
54922,Universidad de Chile,@uchile.cl,523,fIfrOG8AAAAJ,{'indices'},Biology|Molecular Biology|Genetics|Genetic Improvement in Aquaculture|Aquaculture,Ana Martine Jedlicki,https://scholar.google.com/citations?view_op=medium_photo&user=fIfrOG8AAAAJ,178,15,7,19,6,0,0
54923,FERTILIA,,523,_pQJWDcAAAAJ,{'indices'},Emryology|Andrology|Genetics|IVF,Cristian Alvarez Sedó,https://scholar.google.com/citations?view_op=medium_photo&user=_pQJWDcAAAAJ,344,10,9,10,8,0,0
54924,Best Journal Center,@uky.edu,522,iAzIttkAAAAJ,{'indices'},Pharmacy|Genetics|Medical Journalism,Soheila (Fatemeh) Rezaei,https://scholar.google.com/citations?view_op=medium_photo&user=iAzIttkAAAAJ,304,13,12,15,13,0,0
54925,AAAS Science and Technology Policy Fellow at NSF,@nsf.gov,522,AlVL4XcAAAAJ,{'indices'},Neuroscience|Genetics|Mental Health|Science and Health Policy|International Development,Shanni Silberberg,https://scholar.google.com/citations?view_op=medium_photo&user=AlVL4XcAAAAJ,389,8,8,8,8,0,0
54926,Posdoc at The University of Queensland,@uq.edu.au,522,BaVS1K4AAAAJ,{'indices'},Immunology|genetics|cancer,Jazmina Libertad Gonzalez Cruz,https://scholar.google.com/citations?view_op=medium_photo&user=BaVS1K4AAAAJ,277,9,9,9,9,0,0
54927,University pf Pennsylvania,@pennmedicine.upenn.edu,522,I1MMd00AAAAJ,{'indices'},Transcription|development|cell fate|genetics,Priya Sivaramakrishnan,https://scholar.google.com/citations?view_op=medium_photo&user=I1MMd00AAAAJ,445,8,7,8,7,0,0
54928,"Associate Professor of Biology, University of Texas at San Antonio",@utsa.edu,521,N7F53OoAAAAJ,{'indices'},Developmental Biology|Developmental neurobiology|Genetics,Gary O. Gaufo,https://scholar.google.com/citations?view_op=medium_photo&user=N7F53OoAAAAJ,173,10,8,10,8,0,0
54929,"Postdoctoral fellow, University College London",@ucl.ac.uk,521,TVSz4J8AAAAJ,{'indices'},Vocalization|larynx|neuromotor control|stuttering|genetics,"Michel Belyk, Ph.D.",https://scholar.google.com/citations?view_op=medium_photo&user=TVSz4J8AAAAJ,439,12,12,13,12,0,0
54930,University of Wisconsin-Madison,@cs.wisc.edu,521,OJdw9QoAAAAJ,{'indices'},Botany|Molecular Biology|Genetics|Computer Science|Bioinformatics,Benjamin J. Adamczyk,https://scholar.google.com/citations?view_op=medium_photo&user=OJdw9QoAAAAJ,248,6,6,5,5,0,0
54931,Istanbul University,@istanbul.edu.tr,521,wp6VH4gAAAAJ,{'indices'},genetics|molecular biology|plant biotechnology,ŞULE ARI,https://scholar.google.com/citations?view_op=medium_photo&user=wp6VH4gAAAAJ,317,15,10,20,12,0,0
54932,"Professor of Biology, Lawrence University",@lawrence.edu,521,m8Xtkg4AAAAJ,{'indices'},genetics|evolution|education,Elizabeth De Stasio,https://scholar.google.com/citations?view_op=medium_photo&user=m8Xtkg4AAAAJ,83,9,5,8,2,0,0
54933,University of Pennsylvania,,521,yMJYl0UAAAAJ,{'indices'},Biochemistry|Cell Biology|Genetics|Neuroscience,Zachary March,https://scholar.google.com/citations?view_op=medium_photo&user=yMJYl0UAAAAJ,502,6,6,5,5,0,0
54934,"Sir Henry Wellcome Fellow, Francis Crick Institute",@crick.ac.uk,520,voDDwYIAAAAJ,{'indices'},Genetics|Genomics|Parasitology|Machine learning|Robotics,Theo Sanderson,https://scholar.google.com/citations?view_op=medium_photo&user=voDDwYIAAAAJ,516,8,8,8,8,0,0
54935,Istanbul University,@istanbul.edu.tr,520,p_9kR4oAAAAJ,{'indices'},genetics,ZEHRAOYA UYGUNER,https://scholar.google.com/citations?view_op=medium_photo&user=p_9kR4oAAAAJ,418,13,11,19,16,0,0
54936,Stanford University,,520,4u-xAMgAAAAJ,{'indices'},biologging|physiology|ecology|biochemistry|genetics,Robert Schallert,https://scholar.google.com/citations?view_op=medium_photo&user=4u-xAMgAAAAJ,257,9,9,9,8,0,0
54937,City of Hope,@coh.org,520,3UiiZc0AAAAJ,{'indices'},Genetics|stem cell|alzheimer's disease,Cheng Wang,https://scholar.google.com/citations?view_op=medium_photo&user=3UiiZc0AAAAJ,338,6,6,2,2,0,0
54938,Stryker,@stryker.com,519,7kA8zagAAAAJ,{'indices'},R&D|Neuroscience|Genomics|Genetics,Claudia Lindstädt,https://scholar.google.com/citations?view_op=medium_photo&user=7kA8zagAAAAJ,117,6,5,6,4,0,0
54939,"Bioinformatics, microbiomics and human genetics - COPSAC",@dbac.dk,519,F3zZ_CMAAAAJ,{'indices'},Bioinformatics|Biostatistics|microbiology|gut microbiota|genetics,Matteo Soverini,https://scholar.google.com/citations?view_op=medium_photo&user=F3zZ_CMAAAAJ,519,13,13,16,16,0,0
54940,"Postdoctoral associate, UMASS_MED",@umassmed.edu,519,JkZKUWsAAAAJ,{'indices'},reproduction|genetics|fertility|epigenetics,Vera D. Rinaldi,https://scholar.google.com/citations?view_op=medium_photo&user=JkZKUWsAAAAJ,411,9,9,9,9,0,0
54941,Phil Rivers,@connect.hku.hk,519,YaqQMRwAAAAJ,{'indices'},Bioinformatics|Genetics|Cancer,Yanhui Fan,https://scholar.google.com/citations?view_op=medium_photo&user=YaqQMRwAAAAJ,356,11,11,15,14,0,0
54942,"Post doc at Dana-Farber Cancer Institute, Harvard Medical School",@dfci.harvard.edu,518,BB5XN6cAAAAJ,{'indices'},Therapeutics|cancer|genetics,Josephine Klitgaard,https://scholar.google.com/citations?view_op=medium_photo&user=BB5XN6cAAAAJ,335,7,6,7,6,0,0
54943,"Scientist, The New Zealand Institute for Plant & Food Research Ltd",@plantandfood.co.nz,518,0ghI7poAAAAJ,{'indices'},Genetics|Genetic diversity|genome mapping|molecular markers,Emily Buck,https://scholar.google.com/citations?view_op=medium_photo&user=0ghI7poAAAAJ,271,13,10,15,11,0,0
54944,Igenomix,@igenomix.com,518,583E4-AAAAAJ,{'indices'},Genetics|reproduction,Nasser Al-Asmar,https://scholar.google.com/citations?view_op=medium_photo&user=583E4-AAAAAJ,407,8,8,8,8,0,0
