,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
618731,Kaiser Permanente,,632,NRXJIGMAAAAJ,{'indices'},,Ketan Mane,,200,9,6,9,4,0,0
618732,"Victor H. Yngve Distinguished Professor of Engineering and Information Science, Indiana University",,11808,YirSp_cAAAAJ,{'indices'},,Katy Borner,,5181,48,36,113,64,0,0
618733,University of Queensland,,248,ML7vgtAAAAAJ,{'indices'},,Courtney Morgans,,240,6,6,6,6,0,0
618734,Anglia Ruskin University,,489,KHOO-NoAAAAJ,{'indices'},,Sophie Mowles,,292,12,10,18,12,0,0
618735,"Professor of Mathematics, Indiana University",,1544,1Z1_oLIAAAAJ,{'indices'},,Elizabeth Ann Housworth,,545,17,11,20,13,0,0
618736,"Professor, Department of Molecular Biology and Genetics, Cornell University",,13617,udHf1vgAAAAJ,{'indices'},,Cedric Feschotte,,7185,55,42,89,79,0,0
618737,"Professor of Human Genetics, University of Utah",,46540,V2tZdyQAAAAJ,{'indices'},,Mark Yandell,,15266,64,53,105,95,0,0
618738,Department of Biological Sciences | University at Buffalo,,4645,PBV6PjEAAAAJ,{'indices'},,Vincent J. Lynch,,2965,28,24,41,30,0,0
618739,"School of Biological Sciences, University of East Anglia",,3724,-J4CG5QAAAAJ,{'indices'},,Alexander Suh,,3280,25,24,35,35,0,0
618740,"Professor, Human Genetics, McGill University",,25763,Et_RonIAAAAJ,{'indices'},,Guillaume Bourque,,12200,55,48,107,95,0,0
618741,Mississippi State University,,1834,dyvuiscAAAAJ,{'indices'},,Jean-Francois Gout,,1204,17,16,20,17,0,0
618742,"CNRS, université Lyon 1",,19236,Jhya3psAAAAJ,{'indices'},,Laurent Duret,,5992,72,43,127,96,0,0
618743,"University of Utah, School of Medicine, Molecular Biology",,2627,HVtr6AIAAAAJ,{'indices'},,Zev N Kronenberg,,2407,20,20,29,29,0,0
618744,washington university school of medicine,,616,Rj_iTdgAAAAJ,{'indices'},,Xiaoyu Zhuo,,481,6,6,6,6,0,0
618745,McGill University,,859,HHVqX1sAAAAJ,{'indices'},,LeeAnn Ramsay,,690,5,5,5,5,0,0
618746,Associate Research Scientist,,530,iMfIu2QAAAAJ,{'indices'},,Mauris Nnamani,,503,7,7,7,7,0,0
618747,"Professor of Ecology and Evolutionary Biology, Yale University",,26379,YVFHQagAAAAJ,{'indices'},,Gunter Wagner,,9186,83,44,241,146,0,0
618748,University of Utah - UCGD - UGP,,230,k38oTaIAAAAJ,{'indices'},,Shawn Rynearson,,206,5,5,5,3,0,0
618749,,,1157,znG0iu4AAAAJ,{'indices'},,Chase Miller,,1007,13,12,13,12,0,0
618750,Texas A&M University,,11934,K7skQWwAAAAJ,{'indices'},,Carrie Byington,,5910,58,38,140,101,0,0
618751,"Professor, Biomedical Informatics, University of Utah",,24674,ccf6djEAAAAJ,{'indices'},,Karen Eilbeck,,5852,30,24,49,41,0,0
618752,"Professor of Human Genetics, University of Utah",,77749,9XnituQAAAAJ,{'indices'},,Gabor T Marth,,52094,50,43,83,70,0,0
618753,"Rutgers, the State University of New Jersey",,30725,JE4GTLYAAAAJ,{'indices'},,Jinchuan Xing,,17830,49,34,85,74,0,0
618754,"Professor of Computer Science, McGill University",,13954,8vXnOQsAAAAJ,{'indices'},,Mathieu Blanchette,,4111,48,32,100,68,0,0
618755,Institute for Systems Biology,,35412,SOqGFioAAAAJ,{'indices'},,Robert Hubley,,10544,23,19,24,21,0,0
618756,,,19757,MIA26AYAAAAJ,{'indices'},,Olivier POCH,,5397,67,36,177,120,0,0
618757,UNISTRA,,49790,EgK5H84AAAAJ,{'indices'},,Moras Dino,,7674,111,41,472,202,0,0
618758,SPYGEN (hosted in LIRMM),,806,eFQ58QQAAAAJ,{'indices'},,Benjamin Linard,,591,14,13,16,15,0,0
618759,Laboratoire de Génétique Médicale U1112,,16831,KkIt1ZsAAAAJ,{'indices'},,Jean Muller,,8263,37,31,70,60,0,0
618760,"SNSF Professor at UNIL, Professor at UCL",,8607,QInd7HoAAAAJ,{'indices'},,Christophe Dessimoz,,6404,45,39,70,67,0,0
618761,"Group Leader, Institute for Research in Biomedicine (IRB) and Barcelona Supercomputing Centre (BSC)",,21699,f5qDizoAAAAJ,{'indices'},,Toni Gabaldon,,15442,70,55,177,158,0,0
618762,"Professor of Biology, UPMC-Paris 6, Station Biologique de Roscoff",,2811,ppQLqZQAAAAJ,{'indices'},,François H. LALLIER,,621,31,14,69,25,0,0
618763,"Professeur de Mathématiques Appliquées, Université de Lille",,568,P_T4oeEAAAAJ,{'indices'},,Nicolas Wicker,,126,10,7,11,3,0,0
618764,"Researcher, CNRS",,3112,HSY_rZYAAAAJ,{'indices'},,Stephane Hourdez,,1191,32,20,69,39,0,0
618765,"Group Leader at CBGP (UPM-INIA), Madrid, Spain",,19150,lUCR9rIAAAAJ,{'indices'},,Jaime Huerta-Cepas,,16669,38,28,50,47,0,0
618766,Jackson Laboratory,,800,gMg9yUUAAAAJ,{'indices'},,Nguyen Ngoc  Hoan,,576,13,11,14,11,0,0
618767,"NCBI, NLM, National Institutes of Health",,31297,lXt-YBgAAAAJ,{'indices'},,Michael Y. Galperin,,10621,80,45,156,117,0,0
618768,"Microbiology, Wageningen University",,40946,8oqozzkAAAAJ,{'indices'},,John van der Oost,,17908,85,52,278,181,0,0
618769,Chercheur Ifremer,,5292,1cFXGW4AAAAJ,{'indices'},,Yannick Gueguen,,2115,41,27,69,54,0,0
618770,"Directeur de Recherche Inserm, Inserm U1085-Irset",,3362,U--MTO8AAAAJ,{'indices'},,Frédéric Chalmel,,1423,29,22,56,46,0,0
618771,"Professor for Applied Bioinformatics, Goethe University Frankfurt",,5728,LOOY3kYAAAAJ,{'indices'},,Ingo Ebersberger,,2896,32,25,55,47,0,0
618772,"TOTAL, France",,415,4bhO8XYAAAAJ,{'indices'},,Cécile pereira,,415,8,8,7,7,0,0
618773,"E. Otis Kendall Professor of Biology, University of Pennsylvania",,37873,HTbZCZ4AAAAJ,{'indices'},,David Roos,,12965,95,52,212,152,0,0
618774,European Bioinformatics Institute,,32077,kYxN8kQAAAAJ,{'indices'},,Maria J. Martin,,16680,46,40,83,67,0,0
618775,University of Lausanne,,2987,_TwFg1QAAAAJ,{'indices'},,Natasha Glover,,2420,18,15,19,17,0,0
618776,"Professor of Biology, Duke University",,10223,A1NhsZgAAAAJ,{'indices'},,Stephen Nowicki,,3295,53,30,110,77,0,0
618777,University of Miami,,11404,K1NTcYEAAAAJ,{'indices'},,William A. Searcy,,2963,57,28,116,70,0,0
618778,"Political Science, University of Miami (FL)",,2272,dOmjVpQAAAAJ,{'indices'},,Casey Klofstad,,1585,23,20,30,27,0,0
618779,College of Charleston,,1493,dF5bFK4AAAAJ,{'indices'},,Melissa Hughes,,579,19,15,23,18,0,0
618780,"Lecturer, University of Miami",,241,E9Zod4AAAAAJ,{'indices'},,Adrienne DuBois,,146,6,6,6,6,0,0
618781,University of Arizona,,2131,uB6cpSUAAAAJ,{'indices'},,Evan MacLean,,1617,24,22,33,30,0,0
618782,"Professor Biological Anthropology emeritus, University of Zurich",,44585,YWT2ZGwAAAAJ,{'indices'},,Carel P. van Schaik,,16341,116,63,347,297,0,0
618783,Universidad Veracruzana,,14643,0EABvHoAAAAJ,{'indices'},,Filippo Aureli,,5486,66,38,157,116,0,0
618784,"Duke University, Evolutionary Anthropology and Global Health",,13710,8BK4QZAAAAAJ,{'indices'},,Charles Nunn,,6542,64,42,138,125,0,0
618785,"Professor of Psychology, University of Pennsylvania",,14720,z26OhZIAAAAJ,{'indices'},,Elizabeth M Brannon,,6769,65,47,110,100,0,0
618786,University of Texas at Austin,,1011,vIUW0J4AAAAJ,{'indices'},,Aaron A. Sandel,,804,10,10,10,10,0,0
618787,"Senior Lecturer in Cognitive Biology, Queen Mary University of London",,12399,9BFt47IAAAAJ,{'indices'},,Dr Nathan Emery,,4695,50,38,74,62,0,0
618788,"Assistant Professor of Psychology and Anthropology, University of Michigan",,2487,-r4GmLQAAAAJ,{'indices'},,Alexandra Rosati,,1453,24,21,32,30,0,0
618789,"Professor Neuroscience, Psychology, and Marketing, University of Pennsylvania",,16936,U9Hu2rcAAAAJ,{'indices'},,Michael Platt,,8039,66,49,141,119,0,0
618790,"Professor Evolutionary Anthropology, Duke University",,21103,5UI11PgAAAAJ,{'indices'},,Brian Hare,,8572,62,48,104,97,0,0
618791,"Royal Society Dorothy Hodgkin Research Fellow, University of Exeter",,3482,UhZbBBkAAAAJ,{'indices'},,Neeltje J. Boogert,,2545,27,27,41,39,0,0
618792,"Professor of Zoology and Physiology and Neuroscience, University of Wyoming",,1456,Bb2OS2IAAAAJ,{'indices'},,Jonathan Prather,,542,16,11,18,11,0,0
618793,Duke University,,7829,aje08w0AAAAJ,{'indices'},,Mohan Venkatachalam,,3416,37,30,60,38,0,0
618794,"Professor of Accounting, Duke University",,2611,DBP1HKUAAAAJ,{'indices'},,William J. Mayew,,1830,20,18,26,23,0,0
618795,"Assistant Professor, Ohio Wesleyan University",,351,TyJ1jhgAAAAJ,{'indices'},,Dustin G. Reichard,,208,9,9,8,8,0,0
618796,"Distinguished Professor of Ecology and Evolutionary Biology, University of California at Irvine",,64150,HBgEJU0AAAAJ,{'indices'},,john c avise,,10718,111,40,330,173,0,0
618797,Southwest Fisheries Science Center,,5068,uF5dYu0AAAAJ,{'indices'},,Eric C.  Anderson,,2707,33,27,65,53,0,0
618798,"Professor of Ecology & Evolution, Iowa State University",,11384,t5ftuNQAAAAJ,{'indices'},,Fredric Janzen,,3895,56,33,139,104,0,0
618799,Universidad Autónoma de Baja California,,479,9eRzLawAAAAJ,{'indices'},,Alicia Abadía-Cardoso,,376,9,8,9,8,0,0
618800,"NOAA Northeast Fisheries Science Center, Fisheries Ecology Division",,1649,ti5--hAAAAAJ,{'indices'},,Sean A. Hayes,,888,25,18,39,35,0,0
618801,"Computational Biology Institute, George Washington University",,68078,nccuYroAAAAJ,{'indices'},,Keith A. Crandall,,17089,83,49,274,197,0,0
618802,University of Washington and NOAA Fisheries NWFSC,,1014,90YRQw8AAAAJ,{'indices'},,Morgan H. Bond,,522,18,14,20,16,0,0
618803,"Louis Weintraub Professor of Biology, The George Washington University, Washington DC",,9792,T5NDlsEAAAAJ,{'indices'},,Guillermo Orti,,4180,53,34,90,73,0,0
618804,"Professor, University of Washington, School of Aquatic and Fishery Sciences",,3175,rG-xngcAAAAJ,{'indices'},,Kerry Naish,,1468,30,20,52,31,0,0
618805,"Full Professor, Evolutionary Biology, Iowa State University",,4315,Y-gLGjUAAAAJ,{'indices'},,Nicole Valenzuela,,2491,35,26,62,55,0,0
618806,University of Alaska Museum,,987,iawantcAAAAJ,{'indices'},,"Matthew ""Mac"" Campbell",,757,12,10,12,10,0,0
618807,"Director, Fisheries Ecology Division, Southwest Fisheries Science Center, National Marine Fisheries",,6989,HsPghHUAAAAJ,{'indices'},,Steven T Lindley,,1954,40,28,61,52,0,0
618808,"NOAA National Marine Fisheries Service, Southwest Fisheries Science Center",,1126,mwiIgAYAAAAJ,{'indices'},,Thomas H Williams,,507,14,13,19,15,0,0
618809,Southwest Fisheries Science Center; UCSC Institute of Marine Sciences,,326,VfAfMOQAAAAJ,{'indices'},,Anthony J. Clemento,,207,8,8,8,7,0,0
618810,"Post-Doctoral Researcher, University of Washington",,613,7BZ46EwAAAAJ,{'indices'},,Garrett McKinney,,602,13,13,15,15,0,0
618811,"Research Molecular Geneticist, NOAA, National Marine Fisheries Service",,2981,i-vP5IsAAAAJ,{'indices'},,Krista Nichols,,1088,27,19,46,30,0,0
618812,"Research Scientist, NCEAS (University of California, Santa Barbara)",,1808,qr9gICIAAAAJ,{'indices'},,Julia S Stewart Lowndes,,1560,18,15,23,20,0,0
618813,"Research Fishery Biologist, NOAA Fisheries, Santa Cruz, CA",,5027,VDepSFoAAAAJ,{'indices'},,John Field,,2497,41,27,83,62,0,0
618814,Metropolitan Water District of Southern California,,223,ViFKk7QAAAAJ,{'indices'},,Corey Phillis,,172,7,7,6,6,0,0
618815,"Professor, Simon Fraser University",,6065,LEcBhAMAAAAJ,{'indices'},,Jonathan Moore,,3650,35,28,70,62,0,0
618816,Icahn School of Medicine at Mount Sinai,,9658,3QhdnTYAAAAJ,{'indices'},,Li Shen,,8182,38,36,64,60,0,0
