,author_1,author_2
82077,VgzYS6IAAAAJ,DZ-fHPgAAAAJ
82078,7PeekG0AAAAJ,SN2zDOEAAAAJ
82079,7PeekG0AAAAJ,MAc53iIAAAAJ
82080,7PeekG0AAAAJ,1SGgB20AAAAJ
82081,7PeekG0AAAAJ,DR25bTwAAAAJ
82082,7PeekG0AAAAJ,yVwAcxMAAAAJ
82083,7PeekG0AAAAJ,dbBW62EAAAAJ
82084,7PeekG0AAAAJ,-OEzTUcAAAAJ
82085,7PeekG0AAAAJ,5txf-DQAAAAJ
82086,7PeekG0AAAAJ,xlfT8vcAAAAJ
82087,7PeekG0AAAAJ,FEBziZ0AAAAJ
82088,7PeekG0AAAAJ,oAj9a-wAAAAJ
82089,7PeekG0AAAAJ,GSyUS9wAAAAJ
82090,7PeekG0AAAAJ,pzkLOIwAAAAJ
82091,7PeekG0AAAAJ,W6GiXPQAAAAJ
82092,7PeekG0AAAAJ,qY6KJI4AAAAJ
82093,7PeekG0AAAAJ,xYcl1kgAAAAJ
82094,7PeekG0AAAAJ,ScXat-4AAAAJ
82095,7PeekG0AAAAJ,qvkAKlsAAAAJ
82096,7PeekG0AAAAJ,7WSbyAgAAAAJ
82097,7PeekG0AAAAJ,1ZoPNUYAAAAJ
82098,rXYLXJMAAAAJ,_pPy-pAAAAAJ
82099,rXYLXJMAAAAJ,BVD_LdgAAAAJ
82100,rXYLXJMAAAAJ,iTv2cOgAAAAJ
82101,rXYLXJMAAAAJ,LyEq7qEAAAAJ
82102,rXYLXJMAAAAJ,bWTPrLEAAAAJ
82103,rXYLXJMAAAAJ,hRggMmIAAAAJ
82104,rXYLXJMAAAAJ,GUAoEcAAAAAJ
82105,rXYLXJMAAAAJ,OBUwP_oAAAAJ
82106,rXYLXJMAAAAJ,dfScyQgAAAAJ
82107,rXYLXJMAAAAJ,VX7d5EQAAAAJ
82108,rXYLXJMAAAAJ,61uuS7YAAAAJ
82109,rXYLXJMAAAAJ,6lyS2T4AAAAJ
82110,rXYLXJMAAAAJ,pU0dce0AAAAJ
82111,rXYLXJMAAAAJ,QO5eCIIAAAAJ
82112,rXYLXJMAAAAJ,yB-7gCwAAAAJ
82113,rXYLXJMAAAAJ,KICA5DoAAAAJ
82114,rXYLXJMAAAAJ,gshPbmAAAAAJ
82115,rXYLXJMAAAAJ,AXhF-boAAAAJ
82116,rXYLXJMAAAAJ,0lcJYs8AAAAJ
82117,rXYLXJMAAAAJ,ewdbG-IAAAAJ
82118,VsaRrjsAAAAJ,fTdKoO4AAAAJ
82119,VsaRrjsAAAAJ,Hpp9kT8AAAAJ
82120,VsaRrjsAAAAJ,_whK8xMAAAAJ
82121,VsaRrjsAAAAJ,P3IfX8MAAAAJ
82122,VsaRrjsAAAAJ,vzZPQj8AAAAJ
82123,VsaRrjsAAAAJ,AVM2giwAAAAJ
82124,VsaRrjsAAAAJ,Iy385VIAAAAJ
82125,VsaRrjsAAAAJ,RwD5PKEAAAAJ
82126,VsaRrjsAAAAJ,dUcdgMQAAAAJ
82127,VsaRrjsAAAAJ,1w-hffgAAAAJ
82128,VsaRrjsAAAAJ,3RGfNQQAAAAJ
82129,VsaRrjsAAAAJ,dP6FAtMAAAAJ
82130,VsaRrjsAAAAJ,2K3F0MMAAAAJ
82131,VsaRrjsAAAAJ,-qMT0ZAAAAAJ
82132,VsaRrjsAAAAJ,0ehDpv8AAAAJ
82133,VsaRrjsAAAAJ,7gv2zsYAAAAJ
82134,VsaRrjsAAAAJ,j7GUAQ8AAAAJ
82135,VsaRrjsAAAAJ,s1WUSRIAAAAJ
82136,VsaRrjsAAAAJ,WNCO6tgAAAAJ
82137,VsaRrjsAAAAJ,5C_BoWQAAAAJ
82138,VScbxfoAAAAJ,HIEblIIAAAAJ
82139,VScbxfoAAAAJ,5JNqG1EAAAAJ
82140,VScbxfoAAAAJ,H7xqOd0AAAAJ
82141,VScbxfoAAAAJ,OYwSBvgAAAAJ
82142,VScbxfoAAAAJ,YGhPb0TXLd0C
82143,PySbfcEAAAAJ,20oVxFsAAAAJ
82144,PySbfcEAAAAJ,Ke7yUWEAAAAJ
82145,PySbfcEAAAAJ,SLVtfioAAAAJ
82146,PySbfcEAAAAJ,-ivxm5kAAAAJ
82147,PySbfcEAAAAJ,-YNWF4AAAAAJ
82148,PySbfcEAAAAJ,rQ0w89cAAAAJ
82149,PySbfcEAAAAJ,APEUoIcAAAAJ
82150,PySbfcEAAAAJ,rQhiTmYAAAAJ
82151,PySbfcEAAAAJ,WWNXoPgAAAAJ
82152,PySbfcEAAAAJ,R56i1qoAAAAJ
82153,PySbfcEAAAAJ,RCb5o70AAAAJ
82154,PySbfcEAAAAJ,hKV4ZD8AAAAJ
82155,PySbfcEAAAAJ,c_hM9mAAAAAJ
82156,PySbfcEAAAAJ,q91I6UYAAAAJ
82157,PySbfcEAAAAJ,3LFRpqYAAAAJ
82158,PySbfcEAAAAJ,UJecnBsAAAAJ
82159,PySbfcEAAAAJ,psdJNJMAAAAJ
82160,PySbfcEAAAAJ,MuQBXOMAAAAJ
82161,PySbfcEAAAAJ,jkxkZwUAAAAJ
82162,PySbfcEAAAAJ,TZy54mcAAAAJ
82163,Inu2EBwAAAAJ,wq-o5EcAAAAJ
82164,Inu2EBwAAAAJ,_GbWsxEAAAAJ
82165,Inu2EBwAAAAJ,5RoNSnIAAAAJ
82166,Inu2EBwAAAAJ,mLx9ZO0AAAAJ
82167,Inu2EBwAAAAJ,RQZI4r0AAAAJ
82168,Inu2EBwAAAAJ,hyTK1RUAAAAJ
82169,Inu2EBwAAAAJ,L-0SAQ4AAAAJ
82170,Inu2EBwAAAAJ,VcZP1GkAAAAJ
82171,Inu2EBwAAAAJ,RNHCGK0AAAAJ
82172,Inu2EBwAAAAJ,IXeH0BIAAAAJ
82173,Inu2EBwAAAAJ,FwNcf8UAAAAJ
82174,Inu2EBwAAAAJ,PCPtGB8AAAAJ
82175,Inu2EBwAAAAJ,3JFqehoAAAAJ
82176,Inu2EBwAAAAJ,-th0SVMAAAAJ
82177,Inu2EBwAAAAJ,CqX8uIUAAAAJ
82178,Inu2EBwAAAAJ,Pnc2lRMAAAAJ
82179,Inu2EBwAAAAJ,X8g6CdoAAAAJ
82180,Inu2EBwAAAAJ,lJ_Pb6kAAAAJ
82181,Inu2EBwAAAAJ,XCHNNMsAAAAJ
82182,Inu2EBwAAAAJ,mLIC7oEAAAAJ
82183,LrlwhwUAAAAJ,dQuP0PcAAAAJ
82184,LrlwhwUAAAAJ,5wjPySkAAAAJ
82185,LrlwhwUAAAAJ,TE8_LDwAAAAJ
82186,LrlwhwUAAAAJ,WONFT3IAAAAJ
82187,LrlwhwUAAAAJ,zbfdaREAAAAJ
82188,LrlwhwUAAAAJ,OXzFKBYAAAAJ
