Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
713609,"Soil Science and Soil Erosion, Physical Geography, Catholic University of Eichstaett-Ingolstadt",,413.0,qbv5CNcAAAAJ,{'indices'},nan,Marcus Schindewolf,nan,348.0,11,10,11,11,0,0
713610,Federal University of Mato Grosso do Sul,,545.0,Q5jD4gsAAAAJ,{'indices'},nan,"Marcato Junior, José",nan,473.0,12,12,17,16,0,0
713611,Technische Universität Dresden,,1219.0,4P-fzrEAAAAJ,{'indices'},nan,Danilo Schneider,nan,660.0,17,13,33,17,0,0
713612,Federal University of Mato Grosso do Sul,,1091.0,0Kt64uAAAAAJ,{'indices'},nan,Wesley Nunes Gonçalves,nan,762.0,19,16,34,28,0,0
713613,Lancaster University,,6800.0,O4xXE0cAAAAJ,{'indices'},nan,Mike James,nan,4993.0,40,32,86,77,0,0
713614,Doutorando em Ciência da Computação,,65.0,hVoMmgkAAAAJ,{'indices'},nan,Anderson Aparecido dos Santos,nan,65.0,3,3,2,2,0,0
713615,"Professor of Computer Science, Federal University of Mato Grosso do Sul",,441.0,-IkaSwy0boIC,{'indices'},nan,Edson Takashi Matsubara,nan,228.0,11,7,11,6,0,0
713616,Université de Lausanne,,18614.0,DnXHOAcAAAAJ,{'indices'},nan,Stuart N. Lane,nan,8807.0,81,52,220,180,0,0
713617,"Professor of Geomatics, University of Melbourne",,9340.0,jhbYbk4AAAAJ,{'indices'},nan,Clive Fraser,nan,3221.0,51,28,148,69,0,0
713618,"Professor of Geomatic Engineering; Newcastle University, UK",,4607.0,IcdMduEAAAAJ,{'indices'},nan,Jon Mills,nan,2829.0,33,23,64,46,0,0
713619,Airbus / RAEng Professor of Large Volume Metrology at UCL,,6255.0,x95lfOUAAAAJ,{'indices'},nan,Stuart Robson,nan,3813.0,29,22,74,44,0,0
713620,Formerly Loughborough University,,5787.0,gHx7FYMAAAAJ,{'indices'},nan,Jim Chandler,nan,2347.0,45,29,91,62,0,0
713621,"Professur für Photogrammetrie, TU Dresden",,128.0,iKEGc70AAAAJ,{'indices'},nan,Melanie Kröhnert,nan,118.0,6,6,2,1,0,0
713622,"Professor of Computer Area, UFGD University",,145.0,hV3BgQ0AAAAJ,{'indices'},nan,Dr. Everton Castelão Tetila,nan,140.0,4,4,4,4,0,0
713623,Santa Catarina State University (UDESC),,1056.0,nkSozRAAAAAJ,{'indices'},nan,Veraldo Liesenberg,nan,828.0,16,15,26,23,0,0
713624,"Professor at Pontifical Catholic University of Rio de Janeiro, Dept Electrical Engineering, Brazil",,2767.0,2unw_HYAAAAJ,{'indices'},nan,Raul Queiroz Feitosa,nan,1846.0,21,15,42,25,0,0
713625,Universidade Católica Dom Bosco,,973.0,EgN7fP8AAAAJ,{'indices'},nan,Hemerson Pistori,nan,587.0,15,11,26,12,0,0
713626,"Professor, Dept. of Electronics & ECE,IIT Kharagpur",,2882.0,rVz2ANcAAAAJ,{'indices'},nan,Goutam Saha,nan,1802.0,27,23,53,39,0,0
713627,"Department of Electronics and Communication Engineering, Adamas University, Barasat, India",,250.0,wInos0cAAAAJ,{'indices'},nan,Dipak kumar Ghosh,nan,195.0,9,8,9,8,0,0
713628,C V Raman Global University,,66.0,_wfL6l0AAAAJ,{'indices'},nan,Sourav Kundu,nan,63.0,5,5,2,2,0,0
713629,National Institute of Technology Rourkela,,47.0,_8zwJqAAAAAJ,{'indices'},nan,Suraj Prakash Sahoo,nan,47.0,4,4,2,2,0,0
713630,"PhD Student, National Institute of Technology Rourkela, India",,75.0,1xyJCAUAAAAJ,{'indices'},nan,Jaya Prakash Sahoo,nan,59.0,6,5,3,1,0,0
713631,"Director, IIIT Vadodara, Professor (On-Lien), ECE, NIT Rourkela, India",,1259.0,6vFfeb4AAAAJ,{'indices'},nan,Sarat Kumar Patra,nan,614.0,15,11,35,12,0,0
