,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
679727,Microsoft Research,,8457,aDVlS-wAAAAJ,{'indices'},,Christian Bird,,5260,44,38,92,82,0,0
679728,"Sr. Principal Researcher at Microsoft Research, Redmond",,19827,5zvbpooAAAAJ,{'indices'},,Thomas Zimmermann,,9977,68,53,142,120,0,0
679729,Microsoft Research,,3715,sNGk-9MAAAAJ,{'indices'},,Ahmed Hassan Awadallah,,2627,33,28,73,61,0,0
679730,"Assistant Professor at York University, Toronto, Canada",,906,gzyZhcgAAAAJ,{'indices'},,Song Wang,,873,15,15,16,16,0,0
679731,Microsoft,,48791,FtbGhBQAAAAJ,{'indices'},,Johannes Gehrke,,15028,81,51,194,131,0,0
679732,Facebook AI,,13528,saQkRvAAAAAJ,{'indices'},,Patrick Pantel,,5281,42,29,78,56,0,0
679733,"Professor of Information Technology, Federation University Australia",,4982,2546GSEAAAAJ,{'indices'},,Manzur Murshed,,1548,25,16,74,30,0,0
679734,"CLOUDS Lab, School of Computing and Information Systems, The University of Melbourne, Australia",,111725,7xN6JqYAAAAJ,{'indices'},,Rajkumar Buyya,,58593,145,103,608,464,0,0
679735,"School of Computer, Data and Mathematical Sciences, Western Sydney University",,16652,Fj8MuyEAAAAJ,{'indices'},,Rodrigo N. Calheiros,,10969,44,42,68,66,0,0
679736,"Professor of Computer Science, Queensland University of Technology",,4854,yIs0dwYAAAAJ,{'indices'},,Yu-Chu Tian,,2264,35,26,107,61,0,0
679737,"Assistant Professor, Shaqra University",,62,dYeKuiUAAAAJ,{'indices'},,Fares Alharbi,,62,3,3,1,1,0,0
679738,Queensland University of Technology,,2156,uXSP9DIAAAAJ,{'indices'},,Maolin Tang,,1161,25,17,42,28,0,0
679739,Qualicen GmbH,,316,fIqLKsMAAAAJ,{'indices'},,Benedikt Hauptmann,,189,10,9,10,8,0,0
679740,Technische Universität München,,272,8mL2doAAAAAJ,{'indices'},,Maximilian Junker,,179,9,8,8,7,0,0
679741,Qualicen GmbH,,846,3zap2YUAAAAJ,{'indices'},,Henning Femmer,,673,14,13,21,17,0,0
679742,"Professor for Computer Science, University of Cologne",,693,knNRUtEAAAAJ,{'indices'},,Andreas Vogelsang,,618,14,13,22,20,0,0
679743,CQSE GmbH,,407,ZEu3TboAAAAJ,{'indices'},,Daniela Steidl,,279,9,9,9,9,0,0
679744,CQSE GmbH,,844,KUYgwZkAAAAJ,{'indices'},,Lars Heinemann,,445,14,11,16,11,0,0
679745,The University of Queensland,,3696,JRxfQowAAAAJ,{'indices'},,Graeme Smith,,364,23,8,57,5,0,0
679746,"Professor of Computer Science, Drexel University",,4215,14rruLUAAAAJ,{'indices'},,Yuanfang Cai,,1962,32,25,61,42,0,0
679747,University of Hawaii,,24739,NUJQv_oAAAAJ,{'indices'},,Rick Kazman,,5793,56,33,158,90,0,0
679748,Central China Normal University,,502,V5-DfocAAAAJ,{'indices'},,Ran Mo,,460,10,10,10,10,0,0
679749,Stevens Institute of Technology (graduated from Drexel University in 2016),,756,s2Z7NFYAAAAJ,{'indices'},,Lu Xiao,,647,13,13,14,13,0,0
679750,"Umm Al Qura University, KSA",,122,MfzpCOEAAAAJ,{'indices'},,Skander Turki,,51,6,5,4,1,0,0
679751,TELECOM ParisTech,,384,zDk3gycAAAAJ,{'indices'},,Etienne BORDE,,166,11,8,14,3,0,0
679752,Galatasaray Üniversitesi,,1193,EkBJrH4AAAAJ,{'indices'},,Rabie Ben Atitallah,,560,19,11,31,13,0,0
679753,Associate Professor / Profesor Titular de Universidad (UPV),,3018,qVNtKNgAAAAJ,{'indices'},,Emilio Insfran,,1275,25,16,59,28,0,0
679754,"ENSTA Bretagne, UMR 6285",,549,FCQPJXwAAAAJ,{'indices'},,loic lagadec,,234,12,8,16,4,0,0
679755,"SHARP/SHAKER, Lab-STICC/Université de Bretagne Occidentale/UBO",,1336,tB-diFUAAAAJ,{'indices'},,frank singhoff,,490,15,11,29,15,0,0
679756,MOCS - Université de Bretagne Occidentale,,512,pnT0X0YAAAAJ,{'indices'},,Alain Plantec,,166,12,8,13,4,0,0
679757,"Tecnológico de Monterrey, Campus Guadalajara",,128,DDtiliwAAAAJ,{'indices'},,Gilberto Ochoa-Ruiz,,89,7,7,7,3,0,0
679758,North Carolina State University,,4086,Guzbr0kAAAAJ,{'indices'},,Chris Parnin,,2737,29,27,55,49,0,0
679759,"Sr. Principal Researcher at Microsoft Research, Redmond",,19827,5zvbpooAAAAJ,{'indices'},,Thomas Zimmermann,,9977,68,53,142,120,0,0
679760,"Research Scientist at Google and Adjunct Associate Professor of Computer Science, North Carolina",,4842,9Kk7PNQAAAAJ,{'indices'},,Emerson Murphy-Hill,,3316,33,28,90,75,0,0
679761,Microsoft Research,,14753,Nzx_7P8AAAAJ,{'indices'},,Nachiappan Nagappan,,7034,56,42,117,87,0,0
679762,"Senior Researcher, Microsoft",,453,o5Q3xxoAAAAJ,{'indices'},,Titus Barik,,413,14,13,18,16,0,0
679763,"Assistant Professor - Computer Science, Lafayette College",,407,i154fxoAAAAJ,{'indices'},,Justin Smith,,397,11,11,11,11,0,0
679764,"Full Professor of Social Software Engineering, Computer Science, Eindhoven University of Technology",,6556,Mcn2e18AAAAJ,{'indices'},,Alexander Serebrenik,,4272,46,36,123,86,0,0
679765,Assistant Professor at George Mason University,,788,Ajhb1FYAAAAJ,{'indices'},,Brittany I. Johnson,,660,11,11,14,13,0,0
679766,North Carolina State University,,95,bN25_hsAAAAJ,{'indices'},,Mahnaz Behroozi,,95,4,4,4,4,0,0
679767,Microsoft Research,,8457,aDVlS-wAAAAJ,{'indices'},,Christian Bird,,5260,44,38,92,82,0,0
679768,"Associate Professor of Cognitive Science, UC San Diego",,7994,CKXeqHoAAAAJ,{'indices'},,Philip Guo,,5075,38,32,57,55,0,0
679769,"Senior Research Scientist, Phase Change Software",,769,ikALA9IAAAAJ,{'indices'},,Rahul Pandita,,559,10,10,10,10,0,0
679770,"Teaching Professor, Director of Undergraduate Programs, NC State University",,660,kJx0LPcAAAAJ,{'indices'},,Sarah Heckman,,453,11,11,16,13,0,0
679771,"Professor of Computer Science, University of Victoria",,14695,WhjQewkAAAAJ,{'indices'},,Margaret-Anne Storey,,5991,66,40,159,92,0,0
679772,"Associate Professor, Carnegie Mellon University",,10678,DdNAgNwAAAAJ,{'indices'},,Laura Dabbish,,5461,37,31,67,58,0,0
679773,"Senior Member of Technical Staff, Sandia National Laboratories",,121,PzG-VUAAAAAJ,{'indices'},,Reed Milewicz,,116,6,5,2,2,0,0
