Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
300429,"Research Staff Member, IBM TJ Watson Research Center",@us.ibm.com,1606,hxn3uCAAAAAJ,{'indices'},Software Engineering|Open Source Software,Patrick Wagstrom,https://scholar.google.com/citations?view_op=medium_photo&user=hxn3uCAAAAAJ,370,16,9,19,8,0,1
300430,Trinity College Dublin,@scss.tcd.ie,1606,aOyTPmAAAAAJ,{'indices'},distributed autonomic computing|software engineering|renewable energy management|smart grid,Colin Harris,https://scholar.google.com/citations?view_op=medium_photo&user=aOyTPmAAAAAJ,865,20,15,28,19,0,1
300431,"Professor of Computer Science, Cal Poly - San Luis Obispo",@calpoly.edu,1604,wOC1qMwAAAAJ,{'indices'},Software Engineering|Computer Science Education|Mobile Development,David Janzen,https://scholar.google.com/citations?view_op=medium_photo&user=wOC1qMwAAAAJ,504,18,12,21,16,0,1
300432,Researcher at Fondazione Bruno Kessler,@fbk.eu,1602,nVHJXcQAAAAJ,{'indices'},ICT for Good|Software Engineering|Project Management|ICT and Laws|Safety Critical Systems,Adolfo Villafiorita,https://scholar.google.com/citations?view_op=medium_photo&user=nVHJXcQAAAAJ,576,21,13,42,17,0,1
300433,"Associate professor of Computer Science, Dwaraka Doss Goverdhan Doss Vaishnav …",,1601,24OZMN0AAAAJ,{'indices'},Data Mining|Software Engineering|Computer Network,Capt. Dr. S. Santhosh baboo,https://scholar.google.com/citations?view_op=medium_photo&user=24OZMN0AAAAJ,971,19,14,37,25,0,1
300434,College of Charleston,@cofc.edu,1599,TKk03_cAAAAJ,{'indices'},Software Architecture|Software Engineering|Software Testing|Domain-Specific Software and …,James F. Bowring,https://scholar.google.com/citations?view_op=medium_photo&user=TKk03_cAAAAJ,896,11,10,12,10,0,1
300435,Università degli Studi di Salerno,@unisa.it,1599,zb3BXvcAAAAJ,{'indices'},Software Engineering|Mobile Computing|elearning,Rita Francese,https://scholar.google.com/citations?view_op=medium_photo&user=zb3BXvcAAAAJ,597,21,12,31,16,0,1
300436,"Professor of Computer Science, Pontifical Catholic University of Paraná",@ppgia.pucpr.br,1598,PlljqBIAAAAJ,{'indices'},Artificial Intelligence|Ontologies|Software Engineering|Software Quality,Andreia Malucelli,https://scholar.google.com/citations?view_op=medium_photo&user=PlljqBIAAAAJ,967,21,17,46,28,0,1
300437,"Professor of Computer Science, Ss. Cyril and Methodius University in Skopje",@finki.ukim.mk,1598,z2uCCmAAAAAJ,{'indices'},Machine Learning|Pattern Recognition|Software Engineering,Dejan Gjorgjevikj,https://scholar.google.com/citations?view_op=medium_photo&user=z2uCCmAAAAAJ,918,15,11,22,14,0,1
300438,"University of California, Berkeley",@eecs.berkeley.edu,1597,OWZSN-oAAAAJ,{'indices'},Software engineering|programming languages,Derrick Coetzee,https://scholar.google.com/citations?view_op=medium_photo&user=OWZSN-oAAAAJ,987,10,7,10,5,0,1
300439,"Associate Professor, Florida State University",@cs.fsu.edu,1596,PH0OA2QAAAAJ,{'indices'},Software Engineering|Computer Science,Sonia Haiduc,https://scholar.google.com/citations?view_op=medium_photo&user=PH0OA2QAAAAJ,1039,20,18,28,28,0,1
300440,"Αναπληρωτής Καθηγητής Πανεπιστήμιο Πατρών, ΣΕΠ ΠΛΗ Ελληνικό Ανοικτό",@upatras.gr,1596,d5ybCLIAAAAJ,{'indices'},Εκπαιδευτική Τεχνολογία|e-learning|software engineering|artificial intelligence,Christos Pierrakeas,https://scholar.google.com/citations?view_op=medium_photo&user=d5ybCLIAAAAJ,776,17,14,25,17,0,1
300441,Government Bikram College of Commerce,@thapar.edu,1596,E3Z7oJcAAAAJ,{'indices'},ARTIFICIAL INTELLIGENCE|OPTIMIZATION|FUZZY SYSTEMS|MACHINE LEARNING|SOFTWARE ENGINEERING,Dr. Gaurav Dhiman,https://scholar.google.com/citations?view_op=medium_photo&user=E3Z7oJcAAAAJ,1586,24,24,34,33,0,1
300442,Professor for Computer Systems in Engineering,@ovgu.de,1588,ef7RYPwAAAAJ,{'indices'},Software Engineering|Industrial Software Architectures|Robotics|AI for Automation|Safety Critical Systems,Frank Ortmeier,https://scholar.google.com/citations?view_op=medium_photo&user=ef7RYPwAAAAJ,681,24,13,40,18,0,1
300443,Sr Computational Biologist/Data Scientist,@resolutionbio.com,1587,D5Zj8zAAAAAJ,{'indices'},Immunology|Bioinformatics|Cancer Genomics|Software Engineering,"Robert A. Amezquita, PhD",https://scholar.google.com/citations?view_op=medium_photo&user=D5Zj8zAAAAAJ,1563,13,13,13,13,0,1
300444,"Professor of Computer Science, Nantes University",@univ-nantes.fr,1585,xhPSmqUAAAAJ,{'indices'},Software engineering|software architecture,Oussalah Mourad Chabane,https://scholar.google.com/citations?view_op=medium_photo&user=xhPSmqUAAAAJ,376,19,8,44,6,0,1
300445,University of Seville,@us.es,1580,xH6ErLQAAAAJ,{'indices'},Enterprise Application Integration|Enterprise Information Integration|Software Engineering|Artificial Intelligence,Rafael Corchuelo,https://scholar.google.com/citations?view_op=medium_photo&user=xH6ErLQAAAAJ,618,20,12,53,18,0,1
300446,"Assistant Professor, School of Computing, Queen's University, Canada",@cs.queensu.ca,1578,wX4le_QAAAAJ,{'indices'},Data Mining|Software Engineering|Machine Learning,Yuan Tian,https://scholar.google.com/citations?view_op=medium_photo&user=wX4le_QAAAAJ,1229,21,20,26,25,0,1
300447,PhD Candidate,@comp.polyu.edu.hk,1578,RAqdylgAAAAJ,{'indices'},Security|Software Engineering|Big Data Science,Peter Membrey,https://scholar.google.com/citations?view_op=medium_photo&user=RAqdylgAAAAJ,1130,13,11,15,11,0,1
300448,Universidad Politécnica de Madrid,@fi.upm.es,1578,FuBXfGMAAAAJ,{'indices'},software engineering|software process improvement|software quality|project management,Jose A. Calvo-Manzano,https://scholar.google.com/citations?view_op=medium_photo&user=FuBXfGMAAAAJ,828,17,14,39,27,0,1
300449,Independent Researcher,@vt.edu,1574,StHRfS4AAAAJ,{'indices'},algebras of information|translational bioinformatics|recommender systems|symbolic computation|software engineering,Benjamin Keller,https://scholar.google.com/citations?view_op=medium_photo&user=StHRfS4AAAAJ,824,17,13,24,16,0,1
300450,Universidad Politecnica Cartagena,@upct.es,1573,sGIKDkYAAAAJ,{'indices'},computer science|software engineering|model driven engineering|reactive systems,Prof. Pedro Sánchez Palma,https://scholar.google.com/citations?view_op=medium_photo&user=sGIKDkYAAAAJ,542,18,12,30,14,0,1
300451,IIT Bombay,,1571,y6u5S50AAAAJ,{'indices'},database systems|software engineering,NL Sarda,https://scholar.google.com/citations?view_op=medium_photo&user=y6u5S50AAAAJ,212,12,7,17,5,0,1
300452,The University of Texas at Austin,@utexas.edu,1569,MeZLMbkAAAAJ,{'indices'},Software Engineering,Milos Gligoric,https://scholar.google.com/citations?view_op=medium_photo&user=MeZLMbkAAAAJ,1039,19,17,33,26,0,1
300453,"Facebook, Inc.",@fb.com,1568,7jxYG5AAAAAJ,{'indices'},Distributed Systems|Open Source|Software Engineering|Statistical Computing,Murray Stokely,https://scholar.google.com/citations?view_op=medium_photo&user=7jxYG5AAAAAJ,1023,11,9,12,8,0,1
300454,"Associate Professor, University of Alcala",@uah.es,1566,ZrnkfBAAAAAJ,{'indices'},Data Mining|Metaheuristics|Software Engineering|SBSE,Daniel Rodriguez,https://scholar.google.com/citations?view_op=medium_photo&user=ZrnkfBAAAAAJ,839,22,15,44,28,0,1
300455,"Assistant professor, Department of Computer Science and Engineering, Mississippi State …",@cse.msstate.edu,1566,PIBtljkAAAAJ,{'indices'},Software Engineering|Data mining|Software Analytics|Software Maintenance|Machine learning,Shaowei Wang,https://scholar.google.com/citations?view_op=medium_photo&user=PIBtljkAAAAJ,1253,21,19,27,26,0,1
300456,CSIRO,@csiro.au,1565,VHjd_dAAAAAJ,{'indices'},Databases|software engineering|social media analysis|web applications,Robert Power,https://scholar.google.com/citations?view_op=medium_photo&user=VHjd_dAAAAAJ,1054,12,9,14,8,0,1
300457,"Postdoc Researcher, Aalto University",@aalto.fi,1562,TRUb-TQAAAAJ,{'indices'},software engineering|software testing|exploratory testing|agile development|human aspects,Juha Itkonen,https://scholar.google.com/citations?view_op=medium_photo&user=TRUb-TQAAAAJ,1152,19,16,26,20,0,1
300458,"Indian Institute of Science, Bangalore",@csa.iisc.ernet.in,1558,fZq9W2cAAAAJ,{'indices'},Programming Languages|Software Engineering|Formal Methods,Raghavan Komondoor,https://scholar.google.com/citations?view_op=medium_photo&user=fZq9W2cAAAAJ,373,14,8,15,6,0,1
300459,"Professor of Computer Science, Birzeit University / King's College London",@birzeit.edu,1557,rWp9wRUAAAAJ,{'indices'},Software Engineering|Distributed Systems|Medical Informatics,Adel Taweel,https://scholar.google.com/citations?view_op=medium_photo&user=rWp9wRUAAAAJ,858,17,14,35,17,0,1
