,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
641536,"Medical Micro Instruments, spa",,2089,iUQhR1wAAAAJ,{'indices'},,Emanuele Ruffaldi,,1452,21,17,58,34,0,0
641537,"Professor of Physics, Sri Venkateswara University, Tirupati, India",,7090,cz5896YAAAAJ,{'indices'},,K. T. Ramakrishna Reddy,,3525,46,30,135,90,0,0
641538,"Assistant Professor of Geology, Yogi Vemana University, Kadapa",,794,YCmr6iYAAAAJ,{'indices'},,Dr.S. Srinivasa Gowd,,438,8,5,7,4,0,0
641539,S.V.UNIVERSITY,,42,f52BELkAAAAJ,{'indices'},,Dr.Sathish Kuppani,,28,3,3,2,1,0,0
641540,"Associate Professor of Information Systems, ESSEC Business School",,3383,nlFH5o4AAAAJ,{'indices'},,Jan Ondrus,,1824,21,17,31,21,0,0
641541,University of Applied Sciences of Southern Switzerland (SUPSI),,910,ROFL7VIAAAAJ,{'indices'},,Giovanni Camponovo,,189,14,7,17,5,0,0
641542,"HEG-Arc, HES-SO // University of Applied Sciences Western Switzerland",,388,jXfbX30AAAAJ,{'indices'},,Boris Fritscher,,265,9,8,9,8,0,0
641543,Professor of Digital Strategy & Innovation,,13688,RFzKNrYAAAAJ,{'indices'},,Christopher Tucci,,7243,26,21,49,35,0,0
641544,University of Applied Sciences of Western Switzerland,,288,2eNq3DQAAAAJ,{'indices'},,Riccardo Bonazzi,,194,8,7,6,6,0,0
641545,University of Applied Sciences and Arts Western Switzerland (HES-SO Valais-Wallis),,137,DmWUaRgAAAAJ,{'indices'},,Zhan Liu,,102,7,6,5,4,0,0
641546,Université de Lausanne (HEC),,59,47x_2rkAAAAJ,{'indices'},,Dina Elikan,,59,4,4,2,2,0,0
641547,"Faculty of Business and Economics (HEC Lausanne), University of Lausanne - Senior Lecturer",,2398,hyFUYPIAAAAJ,{'indices'},,Samuel Bendahan,,1802,10,9,10,9,0,0
641548,"Professor and Chair, University of Hawaii at Manoa",,6807,mq8unY8AAAAJ,{'indices'},,Tung Bui,,1876,39,21,84,34,0,0
641549,Associate Professor,,7009,s-gUfQsAAAAJ,{'indices'},,J Gordijn,,1869,36,20,96,33,0,0
641550,"Professor, Haute école de gestion Arc, University of applied sciences Western Switzerland (HES-SO)",,76,fZB3vvwAAAAJ,{'indices'},,Cédric Gaspoz,,32,6,3,2,1,0,0
641551,Case Western Reserve University,,37997,yX-R0QwAAAAJ,{'indices'},,Kalle Lyytinen,,15091,92,52,280,169,0,0
641552,"Professor of Information and Communications Management, University of St. Gallen",,3425,XnJBkMgAAAAJ,{'indices'},,Katarina Stanoevska-Slabeva,,893,30,14,77,23,0,0
641553,"Professor of Information Systemes, University of Geneva",,3117,2dmDdo8AAAAJ,{'indices'},,Dimitri Konstantas,,1024,30,16,60,25,0,0
641554,"Faculty of Business and Economics (HEC), University of Lausanne",,3583,v7qEv8YAAAAJ,{'indices'},,Ari-Pekka Hameri,,1313,26,15,51,23,0,0
641555,"Professor, Dr, Chief Architect  at  Luxembourg Institute of Science & Technology (Departement of IT",,3378,9Lk6-s8AAAAJ,{'indices'},,Eric Dubois,,722,30,13,69,18,0,0
641556,"Sauder School of Business, University of British Columbia",,1851,beFexUQAAAAJ,{'indices'},,Carson Woo,,329,20,10,35,10,0,0
641557,"INESC-ID, IST, Univ. Lisboa, Portugal",,34288,yHZxgdMAAAAJ,{'indices'},,Paulo Teixeira,,16997,57,41,258,154,0,0
641558,"Professor of Management Science, Innovation, and Engineering Systems, MIT",,31774,ewwakRYAAAAJ,{'indices'},,Steven Eppinger,,9178,52,34,96,57,0,0
641559,The Wharton School,,11800,IO6vsAoAAAAJ,{'indices'},,Christian Terwiesch,,5361,45,37,70,63,0,0
641560,"Dyson Family Professor of Operations and Innovation, Cornell Tech/Johnson, Cornell University",,2424,UTudPl4AAAAJ,{'indices'},,Karan Girotra,,1714,16,16,20,19,0,0
641561,"Professor of Mechanical Engineering, MIT",,11220,4ZckX2kAAAAJ,{'indices'},,W Seering,,2173,50,21,113,46,0,0
641562,"UPS Professor, Wharton, University of Pennsylvania",,31877,oyJEvvYAAAAJ,{'indices'},,marshall fisher,,9086,56,35,88,55,0,0
641563,London Business School,,2197,XKCvnmgAAAAJ,{'indices'},,Kamalini Ramdas,,836,16,15,19,18,0,0
641564,"Assistant Professor of Management Science, Moore School of Business, University of South Carolina",,228,GMGQBosAAAAJ,{'indices'},,Joel Wooten,,197,4,4,2,2,0,0
641565,"Professor in mechanical engineering, Technical University of Denmark",,42835,t-nTDu4AAAAJ,{'indices'},,Ole Sigmund,,23364,80,68,234,202,0,0
641566,,,5861,07sbkLsAAAAJ,{'indices'},,Robert Haber,,1367,38,17,66,31,0,0
641567,"Professor of Mechanical  Engineering, Michigan State University",,4311,LBtgYwYAAAAJ,{'indices'},,Alejandro R Diaz,,1241,28,17,58,24,0,0
641568,"University of Michigan, Toyota Central R&D Labs",,29050,MI_-OHkAAAAJ,{'indices'},,Noboru Kikuchi,,7797,69,36,181,83,0,0
641569,"Assoc. Prof., Mech. Engng. Dept., Instituto Superior Tecnico, Universidade de Lisboa, Portugal",,3932,AKrKVMEAAAAJ,{'indices'},,Jose M. Guedes,,1585,21,16,31,23,0,0
641570,Lisbon OR Lisboa OR Ann Arbor OR Lyngby,,2824,tVhoXsYAAAAJ,{'indices'},,Helder C Rodrigues,,1184,26,18,44,25,0,0
641571,"professor of operations research, Technion, israel Institute of technology",,28709,5exbYaoAAAAJ,{'indices'},,a ben tal,,12290,59,38,130,74,0,0
641572,Louisiana State University,,3056,KLgjch8AAAAJ,{'indices'},,Robert Lipton,,1084,28,17,72,33,0,0
641573,Illinois,,6491,dVrhQWkAAAAJ,{'indices'},,Tortorelli,,2943,42,24,90,47,0,0
641574,"Associate Professor, University of Connecticut",,1625,V0EWu8kAAAAJ,{'indices'},,Julian Norato,,1242,17,17,21,21,0,0
641575,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa",,886,v8SMNZIAAAAJ,{'indices'},,Miguel de Matos Neves,,425,12,10,15,11,0,0
641576,"Professor i Biomekanik, Aalborg Universitet",,6050,BXNEOscAAAAJ,{'indices'},,John Rasmussen,,2817,33,24,90,51,0,0
641577,"Aerospace and Mechanical Engineering Departement, University of Liege",,3072,ffJDhi8AAAAJ,{'indices'},,Pierre Duysinx,,1362,23,17,47,25,0,0
641578,"Professor, DTU",,7161,udxLHZEAAAAJ,{'indices'},,Jesper Hattel,,3997,40,30,130,88,0,0
641579,"TOYOTA CENTRAL R&D LABS., INC.",,1530,M9IOdeAAAAAJ,{'indices'},,Atsushi KAWAMOTO,,738,20,13,32,21,0,0
641580,"University of Birmingham, UK",,3952,hizPCIIAAAAJ,{'indices'},,Michal Kocvara,,1137,34,18,57,34,0,0
641581,"Professor, Department of Materials and Production, Aalborg University",,4059,1TusNToAAAAJ,{'indices'},,Erik Lund,,1972,32,25,70,50,0,0
641582,"Associate Professor, Technion - Israel Institute of Technology",,1150,kC34CxQAAAAJ,{'indices'},,Oded Amir,,937,20,19,30,30,0,0
641583,"Professor of Computational Vibroacoustics, Technical University of Denmark",,6005,eSq9TLEAAAAJ,{'indices'},,Jakob Søndergaard Jensen,,3270,37,28,63,50,0,0
641584,"Professor of Biomedical Engineering, Columbia University",,13159,4YmqmjoAAAAJ,{'indices'},,Christopher R. Jacobs,,4295,62,40,118,86,0,0
641585,Carnegie Mellon University,,25863,MoFbcc0AAAAJ,{'indices'},,Jason Hong,,10407,73,53,163,127,0,0
641586,User Experience Research at Google,,15759,wTCe1mUAAAAJ,{'indices'},,Sunny Consolvo,,6450,52,41,75,62,0,0
641587,"Associate Professor, CSE, University of Washington",,10061,nExKrpsAAAAJ,{'indices'},,Jon Froehlich,,5027,40,32,82,78,0,0
641588,Microsoft,,10826,44jDM6EAAAAJ,{'indices'},,Beverly Harrison,,3120,51,27,76,52,0,0
641589,Google,,2790,Qt40tM4AAAAJ,{'indices'},,James Lin,,427,21,11,27,13,0,0
641590,"UC San Diego Design Lab, Coursera Instructor",,9156,BEHcR-IAAAAJ,{'indices'},,Scott Klemmer,,4037,41,32,84,56,0,0
641591,"Associate Professor of Information, University of Michigan",,7303,gPKDZtwAAAAJ,{'indices'},,Mark W. Newman,,2709,40,28,86,54,0,0
641592,Act8 Design Pte. Ltd.,,1038,JuMlhAoAAAAJ,{'indices'},,Richard C. Davis,,244,11,7,13,7,0,0
641593,"Associate Professor of Information, University of Michigan",,7685,XKqzS2oAAAAJ,{'indices'},,Predrag Klasnja,,4347,32,28,55,51,0,0
641594,"Senior Staff Research Scientist, Google",,5506,ZZdB48QAAAAJ,{'indices'},,Yang Li,,2941,33,26,85,71,0,0
641595,"Professor of Human-Computer Interaction, Carnegie Mellon University",,32008,E1cp_aYAAAAJ,{'indices'},,Brad A. Myers,,7993,89,47,310,157,0,0
641596,"Professor of Computer Science, National Taiwan University",,10684,NnEMWJsAAAAJ,{'indices'},,Mike Y. Chen - 陳彥仰,,3965,40,26,63,50,0,0
641597,Intel Labs,,16333,OtREFPYAAAAJ,{'indices'},,Anthony LaMarca,,4031,55,30,103,64,0,0
641598,"Researcher, Microsoft Research",,3576,Mux9-okAAAAJ,{'indices'},,T. Scott Saponas,,2178,30,25,53,44,0,0
641599,"Principal Electrical Engineer, Microsoft Research",,3835,44ANFF4AAAAJ,{'indices'},,Jonathan Lester,,1317,23,15,31,22,0,0
641600,University of Washington,,9377,mhmvCgsAAAAJ,{'indices'},,Jennifer Mankoff,,3908,51,33,133,98,0,0
641601,"Computer Science & Engineering, University of Washington",,7766,hma0WFAAAAAJ,{'indices'},,James Fogarty,,4130,50,36,95,84,0,0
641602,"Professor of Computer Science & Engineering, University of Washington",,28960,wUS-iRsAAAAJ,{'indices'},,Gaetano Borriello,,5927,74,35,206,93,0,0
641603,"Professor of Electrical Engineering and Computer Science, University of Washington Seattle",,32255,L9QufAsAAAAJ,{'indices'},,Jeffrey A. Bilmes,,16652,67,38,215,129,0,0
641604,Ben Gurion University of the Negev,,725,Rk1SDB8AAAAJ,{'indices'},,Jessica R. Cauchard,,645,12,11,15,12,0,0
641605,"BMW Endowed Chair in Systems Integration, Professor of Automotive Engineering, Clemson University",,6491,6161b6wAAAAJ,{'indices'},,Chris Paredis,,1957,45,24,129,57,0,0
641606,"Professor of Computer Science, University of Minnesota",,15368,wQdo-bMAAAAJ,{'indices'},,Nikolaos Papanikolopoulos,,4604,61,35,234,103,0,0
641607,"Research Professor of Robotics, Carnegie Mellon University",,6629,vIHp-sgAAAAJ,{'indices'},,Cameron Riviere,,2555,46,27,112,62,0,0
641608,Carnegie Mellon University,,172430,LQ87h3sAAAAJ,{'indices'},,Takeo Kanade,,56504,168,79,675,364,0,0
641609,ETH Zurich,,29897,lFI6TqAAAAAJ,{'indices'},,Bradley J. Nelson,,16162,83,65,407,273,0,0
641610,"Professor of Electrical and Computer Engineering, Carnegie Mellon University",,8756,mWpu_ooAAAAJ,{'indices'},,Marios Savvides,,4674,49,35,168,117,0,0
641611,"Microsoft, CMU",,8652,A6r_cZ0AAAAJ,{'indices'},,Leendert van Doorn,,2222,40,22,69,39,0,0
641612,"Professor of Robotics, Polytechnic Institute, Purdue University",,3141,9q5lihUAAAAJ,{'indices'},,Richard M Voyles,,1172,25,17,59,28,0,0
641613,"Professor of Computer Science at ETH Zürich, Adjunct Professor of ECE at CMU, Cylab Fellow",,68654,n-Oret4AAAAJ,{'indices'},,Adrian Perrig,,18833,99,67,236,192,0,0
641614,U.A. & Helen Whitaker Professor of ECE & Director of CMU-Africa,,18748,3IdSGX8AAAAJ,{'indices'},,B. V. K. Vijaya Kumar,,5572,62,36,278,111,0,0
641615,Intuit Inc,,1990,bDJWbG0AAAAJ,{'indices'},,Cem Ünsal,,330,18,10,20,11,0,0
641616,"Professor of ECE, Carnegie Mellon University",,8292,ppVNXUsAAAAJ,{'indices'},,Rohit Negi,,2886,33,21,73,32,0,0
641617,The University of Texas at Austin,,8172,MRHzTAIAAAAJ,{'indices'},,Diana Marculescu,,2934,49,29,141,79,0,0
641618,The University of Texas at Austin,,14103,ZCmYP5cAAAAJ,{'indices'},,Radu Marculescu,,3784,57,32,150,95,0,0
641619,"Principal Research Scientist, General Dynamics MS | Viz",,862,daRrOG4AAAAJ,{'indices'},,Michael W. Bigrigg,,176,11,7,14,6,0,0
641620,University of Florida,,18584,sDRLr8gAAAAJ,{'indices'},,Dapeng Oliver Wu,,8585,55,41,249,164,0,0
641621,Professor Universidad Catolica de Chile,,3168,gOVVRk4AAAAJ,{'indices'},,Alvaro Soto,,1473,28,23,67,39,0,0
641622,"Associate Professor (with tenure), Department of Computer Science, National University of Singapore",,2196,2P-Q09UAAAAJ,{'indices'},,Bryan Kian Hsiang Low,,1438,28,24,51,43,0,0
641623,"Professor of Electrical and Computer Engineering, University of Utah",,12175,_W97TUcAAAAJ,{'indices'},,Marc Bodson,,2798,42,21,112,50,0,0
641624,"Professor of Computer Science & Engineering, University of Washington; Google Corporation",,36794,-6cOYcYAAAAJ,{'indices'},,Steve Seitz,,14341,78,52,156,125,0,0
641625,"Associate Professor and Founding Head, Dept. of Industrial Design, Xi'an Jiaotong-Liverpool Univ.",,1027,ei5ClRIAAAAJ,{'indices'},,Derrick Tate,,243,18,9,22,9,0,0
641626,"Professor, Department of Education, University of Oslo",,4147,2AVgaCYAAAAJ,{'indices'},,Anders I. Mørch,,946,30,15,67,26,0,0
641627,Professor at Delft University of Technology,,4063,VMMZAMwAAAAJ,{'indices'},,Elisa Giaccardi,,2051,27,22,46,36,0,0
641628,"Professor of Informatics, University of California, Irvine",,6557,PDZvz_YAAAAJ,{'indices'},,David Redmiles,,1550,42,20,99,40,0,0
641629,"Professor, Department of Computer Science and Engineering, Texas A&M University",,7580,w0hg2MoAAAAJ,{'indices'},,Frank Shipman,,1432,46,19,124,49,0,0
641630,"University of Bari ""Aldo Moro"" - Italy",,1731,jw5r9H4AAAAJ,{'indices'},,Antonio Piccinno,,827,24,15,41,25,0,0
641631,"Associate Professor in Cognitive and Computer Science, University of Colorado at Boulder",,3901,NScglmAAAAAJ,{'indices'},,Tamara Sumner,,1140,35,15,79,25,0,0
641632,"Professor of Computer Science, University of Maryland",,97692,h4i4fh8AAAAJ,{'indices'},,Ben Shneiderman,,23628,122,70,483,235,0,0
641633,"Professor Emeritus of Information Science, Drexel University & the Math Forum",,11572,P3igc9gAAAAJ,{'indices'},,Gerry Stahl,,3392,42,24,138,59,0,0
641634,"Professor of Learning Research, MIT Media Lab",,30487,KKq5SN4AAAAJ,{'indices'},,Mitchel Resnick,,12495,67,45,127,83,0,0
641635,"Professor for Information and Technology Management, IAW, University of Bochum Germany",,3403,oB2SRwsAAAAJ,{'indices'},,Thomas Herrmann,,828,31,14,88,21,0,0
641636,Kyushu University,,2771,I_IUH2EAAAAJ,{'indices'},,Shin'ichi Konomi,,689,18,12,37,14,0,0
641637,ArtwordsrActive,,4179,bHRxWykAAAAJ,{'indices'},,Linda Candy,,1599,31,19,57,31,0,0
641638,,,9100,Dz6O99EAAAAJ,{'indices'},,Andreas Girgensohn,,2195,49,24,113,48,0,0
641639,Professor at Università degli Studi di Brescia,,1924,6BBJvLwAAAAJ,{'indices'},,Daniela Fogli,,976,24,15,50,31,0,0
641640,De Montfort University,,6415,PaJGmKYAAAAJ,{'indices'},,Ernest Edmonds,,1950,41,22,120,44,0,0
641641,Microsoft Research,,27947,LHkrpqEAAAAJ,{'indices'},,Mary Czerwinski,,8882,96,49,250,191,0,0
641642,University of Manchester,,3052,jBsjF4cAAAAJ,{'indices'},,Nikolay Mehandjiev,,951,23,16,56,27,0,0
