303179,University of Manitoba,@umanitoba.ca,216,W-n9AhQAAAAJ,{'indices'},Software Engineering,Josiane Kroll,https://scholar.google.com/citations?view_op=medium_photo&user=W-n9AhQAAAAJ,138,8,7,7,3,0,1
303180,ETH Zurich,@ethz.ch,216,MwJw4YwAAAAJ,{'indices'},Programming Language|Software Engineering|Information Security|Privacy,Shaohua Li,https://scholar.google.com/citations?view_op=medium_photo&user=MwJw4YwAAAAJ,216,6,6,5,5,0,1
303181,Australian National University,@anu.edu.au,216,WcMJsj0AAAAJ,{'indices'},Software engineering,Dehai Zhao,https://scholar.google.com/citations?view_op=medium_photo&user=WcMJsj0AAAAJ,216,9,9,8,8,0,1
303182,"Faculty of Sciences, University of Novi Sad",@dmi.rs,215,r4OXEPwAAAAJ,{'indices'},Software Engineering|Software evolution|Software metrics,Gordana Rakic,https://scholar.google.com/citations?view_op=medium_photo&user=r4OXEPwAAAAJ,107,9,6,8,2,0,1
303183,"Systems Analyst, Computer Centre, Pondicherry University",@pondiuni.edu.in,215,4jR0a_IAAAAJ,{'indices'},Software Engineering|Software Architecture|E-Learning,Palanivel Kuppusamy,https://scholar.google.com/citations?view_op=medium_photo&user=4jR0a_IAAAAJ,137,8,6,5,2,0,1
303184,University of Qatar: ABMMC,@abmmc.edu.qa,215,lc78nJcAAAAJ,{'indices'},Software Engineering,Adnane Ghannem,https://scholar.google.com/citations?view_op=medium_photo&user=lc78nJcAAAAJ,190,7,7,6,6,0,1
303185,University of Petra,@uop.edu.jo,215,GPErBWIAAAAJ,{'indices'},Software Engineering,Nuha El-Khalili,https://scholar.google.com/citations?view_op=medium_photo&user=GPErBWIAAAAJ,67,9,5,9,2,0,1
303186,"Lecturer-Researcher, ESTACA Campus Paris-Saclay, Groupe ISAE",@estaca.fr,215,XciLB7YAAAAJ,{'indices'},Software engineering|Formal methods|Embedded Systems|Real-time|Automatic control,Sebti Mouelhi,https://scholar.google.com/citations?view_op=medium_photo&user=XciLB7YAAAAJ,152,6,5,5,2,0,1
303187,"Lecturer, Department of Computer Science, University of Ilorin",@unilorin.edu.ng,215,_DumQewAAAAJ,{'indices'},Machine Learning|Software Engineering|Data Science|Information Security,BALOGUN ABDULLATEEF OLUWAGBEMIGA,https://scholar.google.com/citations?view_op=medium_photo&user=_DumQewAAAAJ,205,8,7,5,5,0,1
303188,"Master's Degree, Software Engineering, National University of Singapore",@u.nus.edu,215,vwOHqlQAAAAJ,{'indices'},Software Engineering,Ardy Dedase,https://scholar.google.com/citations?view_op=medium_photo&user=vwOHqlQAAAAJ,32,8,3,6,0,0,1
303189,"Department of Computer Science, City University of Science and Information Technology …",@cusit.edu.pk,215,dFNC-UMAAAAJ,{'indices'},Machine Learning|Data Mining|Software Engineering|Bio-Informatics,Bilal Khan,https://scholar.google.com/citations?view_op=medium_photo&user=dFNC-UMAAAAJ,177,8,7,4,4,0,1
303190,"Associate Professor, Central University of Jammu, J & K, India",@cujammu.ac.in,214,8JcvSK0AAAAJ,{'indices'},Wireless Sensor Networks|Software Engineering|Model Driven Architecture,Dr.Yashwant Singh,https://scholar.google.com/citations?view_op=medium_photo&user=8JcvSK0AAAAJ,131,7,6,7,5,0,1
303191,"Assistant Dean of Comnputer and E-Learning, University of Jordan",@ju.edu.jo,214,SR9QSWUQEOUC,{'indices'},Artificial Intelligence|Algorithms|Graphic Design|Web Design|Software engineering,Hussam N. Fakhouri,https://scholar.google.com/citations?view_op=medium_photo&user=SR9QSWUQEOUC,149,9,8,8,6,0,1
303192,Software Engineer at Jaguar Land Rover,@jaguarlandrover.com,214,gfAm1nkAAAAJ,{'indices'},Software Engineering|Empirical Software Engineering|Machine Learning|Data Analytics,Jean Petrić,https://scholar.google.com/citations?view_op=medium_photo&user=gfAm1nkAAAAJ,211,7,7,6,5,0,1
303193,"Associate Professor, The Hashemite University",@hu.edu.jo,214,doBKoPm4uPYC,{'indices'},Software Engineering|Machine Learning,Ahmed Fawzi Otoom,https://scholar.google.com/citations?view_op=medium_photo&user=doBKoPm4uPYC,149,8,8,7,5,0,1
303194,Tanjungpura University,@informatics.untan.ac.id,214,erIhdwkAAAAJ,{'indices'},Software Engineering|Natural Language,Novi Safriadi,https://scholar.google.com/citations?view_op=medium_photo&user=erIhdwkAAAAJ,201,8,8,7,5,0,1
303195,"IBM, ETH",@zurich.ibm.com,214,lWXIym8AAAAJ,{'indices'},machine learning|deep learning|software engineering|low precision,Mr Florian Scheidegger,https://scholar.google.com/citations?view_op=medium_photo&user=lWXIym8AAAAJ,213,7,7,3,3,0,1
303196,Silesian University of Technology,@polsl.pl,213,Oz4FA5YAAAAJ,{'indices'},databases query optimization|selectivity estimation|software engineering|mathematical modeling|cloud computing,Dariusz R. Augustyn,https://scholar.google.com/citations?view_op=medium_photo&user=Oz4FA5YAAAAJ,82,8,4,7,3,0,1
303197,"Senior Research Associate in Computer Science & Software Engineering, Lancaster, UK",@lancaster.ac.uk,213,2c1JyAkAAAAJ,{'indices'},Digital Healthcare Technologies|Pervasive/Ubiquitous/IoT|Software Engineering|Computing Education|Design Studio,Dr Christopher N. Bull,https://scholar.google.com/citations?view_op=medium_photo&user=2c1JyAkAAAAJ,166,9,8,7,6,0,1
303198,Università degli Studi di Bari Aldo Moro,@uniba.it,213,83DeGNYAAAAJ,{'indices'},Software Engineering|Object-Oriented programming|Computing Education,Pasquale Ardimento,https://scholar.google.com/citations?view_op=medium_photo&user=83DeGNYAAAAJ,94,8,5,7,3,0,1
