Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
265550,"Ph.D. Student, Columbia University",@cs.columbia.edu,48,aW6IR5gAAAAJ,{'indices'},Machine Learning|Information Extraction|Natural Language Processing|Deep Learning,Giannis Karamanolakis,https://scholar.google.com/citations?view_op=medium_photo&user=aW6IR5gAAAAJ,48,4,4,1,1,0,1
265551,"Assistant Professor, IT, SRM University",@srmist.edu.in,48,up_o3vkAAAAJ,{'indices'},Cognitive Computing|Optimization Algorithms|Machine learning|Deep Learning|Cloud Computing,Dr.P.Supraja,https://scholar.google.com/citations?view_op=medium_photo&user=up_o3vkAAAAJ,48,4,4,2,2,0,1
265552,"Computer Science, Worcester Polytechnic Institute",@wpi.edu,48,RP0uzVkAAAAJ,{'indices'},Deep Learning|Machine Learning|Soft Robotics,Anand Ramakrishnan,https://scholar.google.com/citations?view_op=medium_photo&user=RP0uzVkAAAAJ,48,4,4,1,1,0,1
265553,LG Chem,@lgchem.com,48,CvbGPQYAAAAJ,{'indices'},Drug discovery|Deep learning,Hasun Yu,https://scholar.google.com/citations?view_op=medium_photo&user=CvbGPQYAAAAJ,42,3,3,2,2,0,1
265554,Graduate Student of Louisiana State University,@lsu.edu,48,u7WckUkAAAAJ,{'indices'},Data Mining|Machine Learning|Deep Learning,Fei Li,https://scholar.google.com/citations?view_op=medium_photo&user=u7WckUkAAAAJ,34,3,3,2,2,0,1
265555,Teesside University,@Tees.ac.uk,48,mJFg3REAAAAJ,{'indices'},Deep Learning|Computer Vision|Medical Image Analysis,Noushin Eftekhari,https://scholar.google.com/citations?view_op=medium_photo&user=mJFg3REAAAAJ,48,2,2,2,2,0,1
265556,"Professor of Information Technology, Symbiosis International University",@scit.edu,48,a-yEYZAAAAAJ,{'indices'},Quantum Computing|Quantum Optics|Deep Learning|Machine Learning|AI,Dr. Mandaar B. Pande,https://scholar.google.com/citations?view_op=medium_photo&user=a-yEYZAAAAAJ,10,4,1,2,0,0,1
265557,"UC Berkeley, UCSF",@berkeley.edu,48,WlBMGfUAAAAJ,{'indices'},Musculoskeletal Imaging|Image Processing|Machine Learning|Deep Learning|MRI,Alejandro G Morales Martinez,https://scholar.google.com/citations?view_op=medium_photo&user=WlBMGfUAAAAJ,48,4,4,2,2,0,1
265558,PhD Researcher,@stdmail.ump.edu.my,48,z7YUOkcAAAAJ,{'indices'},Robot Vision|Image Processing|Deep Learning|Chaos System|Optimization,Nurnajmin Qasrina Ann,https://scholar.google.com/citations?view_op=medium_photo&user=z7YUOkcAAAAJ,48,5,5,3,3,0,1
265559,NordSec,@nordvpn.com,48,UM5t1p4AAAAJ,{'indices'},machine learning|deep learning,Vykintas Maknickas,https://scholar.google.com/citations?view_op=medium_photo&user=UM5t1p4AAAAJ,48,2,2,2,2,0,1
265560,University of Toronto,@mie.utoronto.ca,48,FUWruCQAAAAJ,{'indices'},Artificial Intelligence|Deep Learning|Heuristic Search|Optimization|Data Mining,Eldan Cohen,https://scholar.google.com/citations?view_op=medium_photo&user=FUWruCQAAAAJ,48,4,4,1,1,0,1
265561,University of Leeds,@leeds.ac.uk,48,CXDf_cwAAAAJ,{'indices'},Medical image and signal processing|Pattern recognition|Deep learning,Arezoo Zakeri,https://scholar.google.com/citations?view_op=medium_photo&user=CXDf_cwAAAAJ,47,2,2,1,1,0,1
265562,Politecnico di Milano,@polimi.it,48,f5gsfAsAAAAJ,{'indices'},Computational Intelligence|Machine Learning|Deep Learning|Embedded Systems|Non-Stationary Environments,Simone Disabato,https://scholar.google.com/citations?view_op=medium_photo&user=f5gsfAsAAAAJ,48,3,3,1,1,0,1
265563,"Doctoral student, ETH Zurich",@inf.ethz.ch,48,rlP786MAAAAJ,{'indices'},computational neuroscience|deep learning|random graphs,Marcelo Matheus Gauy,https://scholar.google.com/citations?view_op=medium_photo&user=rlP786MAAAAJ,42,5,5,1,0,0,1
265564,PhD Student at the Universidad de Granada,@ugr.es,48,KqHbnTkAAAAJ,{'indices'},Machine Learning|Deep Learning|Bioinformatics,Francisco Carrillo-Perez,https://scholar.google.com/citations?view_op=medium_photo&user=KqHbnTkAAAAJ,48,2,2,2,2,0,1
265565,fortiss GmbH,@fortiss.org,48,7_OfdeIAAAAJ,{'indices'},Machine Learning|Deep Learning|Computer Vision|Autonomous Driving,Christoph Schöller,https://scholar.google.com/citations?view_op=medium_photo&user=7_OfdeIAAAAJ,48,3,3,1,1,0,1
265566,"Delta Research Center, Delta Electronics, Inc.",@deltaww.com,48,F0Us5ToAAAAJ,{'indices'},Deep Learning|Machine Learning|Machine Reading Comprehension|Natural Language Processing,Trois Liu,https://scholar.google.com/citations?view_op=medium_photo&user=F0Us5ToAAAAJ,48,1,1,1,1,0,1
265567,University College London,@ucl.ac.uk,48,DEXi4zsAAAAJ,{'indices'},Urban Soundscape|Machine Learning|Deep Learning|Sound and Music Computing,Matteo Lionello,https://scholar.google.com/citations?view_op=medium_photo&user=DEXi4zsAAAAJ,47,5,5,1,1,0,1
265568,Polytechnique Montréal,@umontreal.ca,48,z0HWRYYAAAAJ,{'indices'},Motion analysis|Medical ultrasound imaging|Deep learning,Hongliang Li,https://scholar.google.com/citations?view_op=medium_photo&user=z0HWRYYAAAAJ,43,5,4,2,2,0,1
265569,Graduate Research Assistant,@ndsu.edu,48,I2_dokoAAAAJ,{'indices'},Data Science|Deep learning|Cyber Security data|Healthcare Data|Intrusion Detection,Mostofa Ahsan,https://scholar.google.com/citations?view_op=medium_photo&user=I2_dokoAAAAJ,48,4,4,2,2,0,1
265570,Center for Geospatial Intelligence,@mail.missouri.edu,48,8pRW5JgAAAAJ,{'indices'},Machine Learning|Deep Learning|Remote Sensing,J. Alex Hurt,https://scholar.google.com/citations?view_op=medium_photo&user=8pRW5JgAAAAJ,48,3,3,1,1,0,1
265571,"Student, Universitas Indonesia",@ui.ac.id,48,wztxzogAAAAJ,{'indices'},Machine Learning|Deep Learning|Image Processing|Information Retrieval|Information System,Octaviano Pratama,https://scholar.google.com/citations?view_op=medium_photo&user=wztxzogAAAAJ,48,4,4,1,1,0,1
265572,"Steklov Institute of Mathematics in St. Petersburg, Russia",@logic.pdmi.ras.ru,48,qoGUwxEAAAAJ,{'indices'},machine learning|deep learning|neuroscience|dentistry,Dmitry Tuzoff,https://scholar.google.com/citations?view_op=medium_photo&user=qoGUwxEAAAAJ,48,2,2,1,1,0,1
265573,Ohio University,@ohio.edu,48,D8_0fcAAAAAJ,{'indices'},Natural Language Processing|Semantic Parsing|Figure Captioning|Deep Learning,Charles Chen,https://scholar.google.com/citations?view_op=medium_photo&user=D8_0fcAAAAAJ,48,4,4,1,1,0,1
265574,"Indian Institute of Technology, Hyderabad, India",@iith.ac.in,48,s7P6kbsAAAAJ,{'indices'},Machine Learning|Convex Optimization|Reinforcement learning|Deep Learning|Cyber Security,Rahul Vigneswaran,https://scholar.google.com/citations?view_op=medium_photo&user=s7P6kbsAAAAJ,46,2,2,1,1,0,1
265575,Ph.D. Student Mississippi State University,@msstate.edu,48,2JJI5NIAAAAJ,{'indices'},Additive Manufacturing|Machine Learning|Deep Learning|Statistical Learning,Jack Francis,https://scholar.google.com/citations?view_op=medium_photo&user=2JJI5NIAAAAJ,48,3,3,1,1,0,1
265576,tsinghua university,,48,mS6m5mUAAAAJ,{'indices'},edge computing|mobile computing|deep learning|indoor localization|GAN,Rui Xi,https://scholar.google.com/citations?view_op=medium_photo&user=mS6m5mUAAAAJ,48,3,3,2,2,0,1
265577,Denti.AI,,48,vEJJX4QAAAAJ,{'indices'},deep learning|machine learning|computer science,Lyudmila Tuzova,https://scholar.google.com/citations?view_op=medium_photo&user=vEJJX4QAAAAJ,48,2,2,1,1,0,1
265578,"PhD Candidate at Department of Electrical and Computer Engineering, Aarhus University",@eng.au.dk,48,_hu2c7MAAAAJ,{'indices'},Deep Learning|Time Series Prediction|Business Intelligence,Mostafa Shabani,https://scholar.google.com/citations?view_op=medium_photo&user=_hu2c7MAAAAJ,47,3,3,2,2,0,1
265579,,@myport.ac.uk,48,xYlHo3sAAAAJ,{'indices'},face reconstruction|3d reconstruction|deep learning,Xiaoxu Cai,https://scholar.google.com/citations?view_op=medium_photo&user=xYlHo3sAAAAJ,42,3,3,2,2,0,1
265580,Samsung Electronics,@samsung.com,48,OYRxW3MAAAAJ,{'indices'},Deep Learning|Computer Vision|Object recognition|Digital Image processing,Irina S. Kim,https://scholar.google.com/citations?view_op=medium_photo&user=OYRxW3MAAAAJ,27,4,3,2,0,0,1
265581,University of Edinburgh,@ed.ac.uk,48,UxGLZEsAAAAJ,{'indices'},Natural Language Processing|Arabic NLP|Machine Learning|Deep Learning,Ibrahim Abu Farha,https://scholar.google.com/citations?view_op=medium_photo&user=UxGLZEsAAAAJ,48,3,3,2,2,0,1
265582,Qplum,,48,_P1yDbAAAAAJ,{'indices'},Deep Learning|Finance,Gaurav Chakravorty,https://scholar.google.com/citations?view_op=medium_photo&user=_P1yDbAAAAAJ,12,2,2,1,0,0,1
265583,University of Science and Technology of China,@mail.ustc.edu.cn,48,2YjQXAEAAAAJ,{'indices'},natural language processing|deep learning|cognitive neuroscience,Yu-Ping Ruan,https://scholar.google.com/citations?view_op=medium_photo&user=2YjQXAEAAAAJ,48,3,3,2,2,0,1
